          ;        2925;   ;Filtro    ;Inicio                                  ;21072016      ;053936;179.57.81.117  ;OK ;                    ;Inicio de filtrado                                                      
          ;        2925;   ;Filtro    ;tbk_param.txt                           ;21072016      ;053936;179.57.81.117  ;OK ;                    ;Archivo parseado                                                        
          ;        2925;   ;Filtro    ;Terminado                               ;21072016      ;053936;179.57.81.117  ;OK ;                    ;Datos Filtrados con exito                                               
909397607 ;        2925;   ;pago      ;inicio                                  ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Parseo realizado                                                        
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Mac generado                                                            
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Datos listos para ser enviados                                          
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Redireccion web                                                         
909397607 ;        2925;   ;pago      ;https://webpay.transbank.cl             ;21072016      ;053936;179.57.81.117  ;OK ;597030906268        ;Todo OK                                                                 
          ;        2953;   ;resultado ;Desencriptando                          ;21072016      ;054110;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        2953;   ;resultado ;Validacion                              ;21072016      ;054110;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        2953;   ;resultado ;64648                                   ;21072016      ;054110;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        2953;   ;resultado ;64648                                   ;21072016      ;054110;200.10.14.177  ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
909397607 ;        2953;   ;transacc  ;909397607                               ;21072016      ;054110;200.10.14.177  ;OK ;597030906268        ;conectandose al port :(80)                                              
