          ;       16379;   ;Filtro    ;Inicio                                  ;24072016      ;001118;190.161.181.11 ;OK ;                    ;Inicio de filtrado                                                      
          ;       16379;   ;Filtro    ;tbk_param.txt                           ;24072016      ;001118;190.161.181.11 ;OK ;                    ;Archivo parseado                                                        
          ;       16379;   ;Filtro    ;Terminado                               ;24072016      ;001118;190.161.181.11 ;OK ;                    ;Datos Filtrados con exito                                               
933347845 ;       16379;   ;pago      ;inicio                                  ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Parseo realizado                                                        
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Mac generado                                                            
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Datos listos para ser enviados                                          
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Redireccion web                                                         
933347845 ;       16379;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;001118;190.161.181.11 ;OK ;597030906268        ;Todo OK                                                                 
          ;       16383;   ;resultado ;Desencriptando                          ;24072016      ;001151;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       16383;   ;resultado ;Validacion                              ;24072016      ;001151;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       16383;   ;resultado ;64716                                   ;24072016      ;001151;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;       16383;   ;resultado ;64716                                   ;24072016      ;001151;200.10.14.177  ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
933347845 ;       16383;   ;transacc  ;933347845                               ;24072016      ;001151;200.10.14.177  ;OK ;597030906268        ;conectandose al port :(80)                                              
933347845 ;       16383;   ;resultado ;logro abrir_conexion                    ;24072016      ;001151;200.10.14.177  ; 0 ;597030906268        ;Abrio socket para conex-com                                             
933347845 ;       16383;   ;transacc  ;933347845                               ;24072016      ;001151;200.10.14.177  ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
933347845 ;       16383;   ;transacc  ;933347845                               ;24072016      ;001151;200.10.14.177  ;OK ;597030906268        ;mensaje enviado                                                         
          ;       16388;   ;check_mac ;                                        ;24072016      ;001152;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
933347845 ;       16383;   ;transacc  ;933347845                               ;24072016      ;001152;200.10.14.177  ;OK ;597030906268        ;Llego ACK del Comercio                                                  
933347845 ;       16383;   ;resultado ;64716                                   ;24072016      ;001152;200.10.14.177  ;OK ;597030906268        ;tienda acepto transaccion                                               
933347845 ;       16383;   ;resultado ;64716                                   ;24072016      ;001152;200.10.14.177  ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
933347845 ;       16383;   ;resultado ;64716                                   ;24072016      ;001152;200.10.14.177  ;OK ;597030906268        ;Todo OK                                                                 
          ;       27817;   ;Filtro    ;Inicio                                  ;24072016      ;140616;190.162.67.6   ;OK ;                    ;Inicio de filtrado                                                      
          ;       27817;   ;Filtro    ;tbk_param.txt                           ;24072016      ;140616;190.162.67.6   ;OK ;                    ;Archivo parseado                                                        
          ;       27817;   ;Filtro    ;Terminado                               ;24072016      ;140616;190.162.67.6   ;OK ;                    ;Datos Filtrados con exito                                               
938357653 ;       27817;   ;pago      ;inicio                                  ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Parseo realizado                                                        
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Mac generado                                                            
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Datos listos para ser enviados                                          
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Redireccion web                                                         
938357653 ;       27817;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;140616;190.162.67.6   ;OK ;597030906268        ;Todo OK                                                                 
          ;       27837;   ;resultado ;Desencriptando                          ;24072016      ;140738;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       27837;   ;resultado ;Validacion                              ;24072016      ;140738;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       27837;   ;resultado ;64718                                   ;24072016      ;140738;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       27837;   ;resultado ;64718                                   ;24072016      ;140738;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
938357653 ;       27837;   ;transacc  ;938357653                               ;24072016      ;140738;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
938357653 ;       27837;   ;resultado ;logro abrir_conexion                    ;24072016      ;140738;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
938357653 ;       27837;   ;transacc  ;938357653                               ;24072016      ;140738;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
938357653 ;       27837;   ;transacc  ;938357653                               ;24072016      ;140738;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;       27838;   ;check_mac ;                                        ;24072016      ;140738;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
938357653 ;       27837;   ;transacc  ;938357653                               ;24072016      ;140738;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
938357653 ;       27837;   ;resultado ;64718                                   ;24072016      ;140738;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
938357653 ;       27837;   ;resultado ;64718                                   ;24072016      ;140738;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
938357653 ;       27837;   ;resultado ;64718                                   ;24072016      ;140738;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       32760;   ;Filtro    ;Inicio                                  ;24072016      ;183333;190.162.36.81  ;OK ;                    ;Inicio de filtrado                                                      
          ;       32760;   ;Filtro    ;tbk_param.txt                           ;24072016      ;183333;190.162.36.81  ;OK ;                    ;Archivo parseado                                                        
          ;       32760;   ;Filtro    ;Terminado                               ;24072016      ;183333;190.162.36.81  ;OK ;                    ;Datos Filtrados con exito                                               
939961360 ;       32760;   ;pago      ;inicio                                  ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Parseo realizado                                                        
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Mac generado                                                            
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Datos listos para ser enviados                                          
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Redireccion web                                                         
939961360 ;       32760;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183333;190.162.36.81  ;OK ;597030906268        ;Todo OK                                                                 
          ;         368;   ;Filtro    ;Inicio                                  ;24072016      ;183635;190.162.36.81  ;OK ;                    ;Inicio de filtrado                                                      
          ;         368;   ;Filtro    ;tbk_param.txt                           ;24072016      ;183635;190.162.36.81  ;OK ;                    ;Archivo parseado                                                        
          ;         368;   ;Filtro    ;Terminado                               ;24072016      ;183635;190.162.36.81  ;OK ;                    ;Datos Filtrados con exito                                               
939979547 ;         368;   ;pago      ;inicio                                  ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;Parseo realizado                                                        
939979547 ;         368;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
939979547 ;         368;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;Mac generado                                                            
939979547 ;         368;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
939979547 ;         368;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
939979547 ;         368;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;Datos listos para ser enviados                                          
939979547 ;         368;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;Medio 2: Por redireccion                                                
939979547 ;         368;   ;pago      ;https://webpay.transbank.cl             ;24072016      ;183635;190.162.36.81  ;OK ;597030906268        ;Redireccion web                                                         
