          ;         759;   ;Filtro    ;Inicio                                  ;30072016      ;162425;186.36.60.56   ;OK ;                    ;Inicio de filtrado                                                      
          ;         759;   ;Filtro    ;tbk_param.txt                           ;30072016      ;162425;186.36.60.56   ;OK ;                    ;Archivo parseado                                                        
          ;         759;   ;Filtro    ;Terminado                               ;30072016      ;162425;186.36.60.56   ;OK ;                    ;Datos Filtrados con exito                                               
991026566 ;         759;   ;pago      ;inicio                                  ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Parseo realizado                                                        
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Mac generado                                                            
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Datos listos para ser enviados                                          
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Redireccion web                                                         
991026566 ;         759;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;162425;186.36.60.56   ;OK ;597030906268        ;Todo OK                                                                 
          ;         788;   ;resultado ;Desencriptando                          ;30072016      ;162515;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;         788;   ;resultado ;Validacion                              ;30072016      ;162515;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;         788;   ;resultado ;64906                                   ;30072016      ;162515;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;         788;   ;resultado ;64906                                   ;30072016      ;162515;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
991026566 ;         788;   ;transacc  ;991026566                               ;30072016      ;162515;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
991026566 ;         788;   ;resultado ;logro abrir_conexion                    ;30072016      ;162515;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
991026566 ;         788;   ;transacc  ;991026566                               ;30072016      ;162515;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
991026566 ;         788;   ;transacc  ;991026566                               ;30072016      ;162515;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;         789;   ;check_mac ;                                        ;30072016      ;162516;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
991026566 ;         788;   ;transacc  ;991026566                               ;30072016      ;162516;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
991026566 ;         788;   ;resultado ;64906                                   ;30072016      ;162516;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
991026566 ;         788;   ;resultado ;64906                                   ;30072016      ;162516;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
991026566 ;         788;   ;resultado ;64906                                   ;30072016      ;162516;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;        3733;   ;Filtro    ;Inicio                                  ;30072016      ;183714;190.45.131.208 ;OK ;                    ;Inicio de filtrado                                                      
          ;        3733;   ;Filtro    ;tbk_param.txt                           ;30072016      ;183714;190.45.131.208 ;OK ;                    ;Archivo parseado                                                        
          ;        3733;   ;Filtro    ;Terminado                               ;30072016      ;183714;190.45.131.208 ;OK ;                    ;Datos Filtrados con exito                                               
991823426 ;        3733;   ;pago      ;inicio                                  ;30072016      ;183714;190.45.131.208 ;OK ;597030906268        ;Parseo realizado                                                        
991823426 ;        3733;   ;pago      ;https://webpay.transbank.cl             ;30072016      ;183714;190.45.131.208 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
