          ;        7735;   ;Filtro    ;Inicio                                  ;02082016      ;000348;179.4.56.92    ;OK ;                    ;Inicio de filtrado                                                      
          ;        7735;   ;Filtro    ;tbk_param.txt                           ;02082016      ;000348;179.4.56.92    ;OK ;                    ;Archivo parseado                                                        
          ;        7735;   ;Filtro    ;Terminado                               ;02082016      ;000348;179.4.56.92    ;OK ;                    ;Datos Filtrados con exito                                               
011062894 ;        7735;   ;pago      ;inicio                                  ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Parseo realizado                                                        
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Mac generado                                                            
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Datos listos para ser enviados                                          
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Medio 2: Por redireccion                                                
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Redireccion web                                                         
011062894 ;        7735;   ;pago      ;https://webpay.transbank.cl             ;02082016      ;000348;179.4.56.92    ;OK ;597030906268        ;Todo OK                                                                 
          ;        7807;   ;resultado ;Desencriptando                          ;02082016      ;000523;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        7807;   ;resultado ;Validacion                              ;02082016      ;000523;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        7807;   ;resultado ;65010                                   ;02082016      ;000523;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;        7807;   ;resultado ;65010                                   ;02082016      ;000523;200.10.14.177  ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
11062894  ;        7807;   ;transacc  ;11062894                                ;02082016      ;000523;200.10.14.177  ;OK ;597030906268        ;conectandose al port :(80)                                              
