          ;        7506;   ;Filtro    ;Inicio                                  ;11082016      ;003658;186.79.117.226 ;OK ;                    ;Inicio de filtrado                                                      
          ;        7506;   ;Filtro    ;tbk_param.txt                           ;11082016      ;003658;186.79.117.226 ;OK ;                    ;Archivo parseado                                                        
          ;        7506;   ;Filtro    ;Terminado                               ;11082016      ;003658;186.79.117.226 ;OK ;                    ;Datos Filtrados con exito                                               
089021828 ;        7506;   ;pago      ;inicio                                  ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Parseo realizado                                                        
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Mac generado                                                            
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Datos listos para ser enviados                                          
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Medio 2: Por redireccion                                                
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Redireccion web                                                         
089021828 ;        7506;   ;pago      ;https://webpay.transbank.cl             ;11082016      ;003658;186.79.117.226 ;OK ;597030906268        ;Todo OK                                                                 
          ;        7543;   ;resultado ;Desencriptando                          ;11082016      ;003833;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        7543;   ;resultado ;Validacion                              ;11082016      ;003833;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        7543;   ;resultado ;65306                                   ;11082016      ;003833;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;        7543;   ;resultado ;65306                                   ;11082016      ;003833;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
89021828  ;        7543;   ;transacc  ;89021828                                ;11082016      ;003833;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
89021828  ;        7543;   ;resultado ;logro abrir_conexion                    ;11082016      ;003833;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
89021828  ;        7543;   ;transacc  ;89021828                                ;11082016      ;003833;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
