          ;       14955;   ;Filtro    ;Inicio                                  ;01092016      ;095149;200.54.83.52   ;OK ;                    ;Inicio de filtrado                                                      
          ;       14955;   ;Filtro    ;tbk_param.txt                           ;01092016      ;095149;200.54.83.52   ;OK ;                    ;Archivo parseado                                                        
          ;       14955;   ;Filtro    ;Terminado                               ;01092016      ;095149;200.54.83.52   ;OK ;                    ;Datos Filtrados con exito                                               
273430936 ;       14955;   ;pago      ;inicio                                  ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Parseo realizado                                                        
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Mac generado                                                            
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;TBK_PARAM encriptado                                                    
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Datos listos para ser enviados                                          
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Medio 2: Por redireccion                                                
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Redireccion web                                                         
273430936 ;       14955;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;095149;200.54.83.52   ;OK ;597030906268        ;Todo OK                                                                 
          ;       14978;   ;resultado ;Desencriptando                          ;01092016      ;095249;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       14978;   ;resultado ;Validacion                              ;01092016      ;095249;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       14978;   ;resultado ;65933                                   ;01092016      ;095249;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       14978;   ;resultado ;65933                                   ;01092016      ;095249;200.10.14.34   ;OK ;                    ;http://www.peta.cl/webpay/webpay_tx_compra.php                          
273430936 ;       14978;   ;transacc  ;273430936                               ;01092016      ;095249;200.10.14.34   ;OK ;597030906268        ;conectandose al port :(80)                                              
273430936 ;       14978;   ;resultado ;logro abrir_conexion                    ;01092016      ;095249;200.10.14.34   ; 0 ;597030906268        ;Abrio socket para conex-com                                             
273430936 ;       14978;   ;transacc  ;273430936                               ;01092016      ;095249;200.10.14.34   ;OK ;597030906268        ;POST a url http://www.peta.cl/webpay/webpay_tx_compra.php               
273430936 ;       14978;   ;transacc  ;273430936                               ;01092016      ;095249;200.10.14.34   ;OK ;597030906268        ;mensaje enviado                                                         
          ;       14979;   ;check_mac ;                                        ;01092016      ;095249;192.168.0.204  ;OK ;                    ;Todo OK                                                                 
273430936 ;       14978;   ;transacc  ;273430936                               ;01092016      ;095249;200.10.14.34   ;OK ;597030906268        ;Llego ACK del Comercio                                                  
273430936 ;       14978;   ;resultado ;65933                                   ;01092016      ;095249;200.10.14.34   ;OK ;597030906268        ;tienda acepto transaccion                                               
273430936 ;       14978;   ;resultado ;65933                                   ;01092016      ;095249;200.10.14.34   ;OK ;597030906268        ;respuesta enviada a TBK (ACK)                                           
273430936 ;       14978;   ;resultado ;65933                                   ;01092016      ;095249;200.10.14.34   ;OK ;597030906268        ;Todo OK                                                                 
          ;       16859;   ;Filtro    ;Inicio                                  ;01092016      ;105104;192.168.3.185  ;OK ;                    ;Inicio de filtrado                                                      
          ;       16859;   ;Filtro    ;tbk_param.txt                           ;01092016      ;105104;192.168.3.185  ;OK ;                    ;Archivo parseado                                                        
          ;       16859;   ;Filtro    ;Terminado                               ;01092016      ;105104;192.168.3.185  ;OK ;                    ;Datos Filtrados con exito                                               
273786454 ;       16859;   ;pago      ;inicio                                  ;01092016      ;105104;192.168.3.185  ;OK ;597030906268        ;Parseo realizado                                                        
273786454 ;       16859;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;105104;192.168.3.185  ;OK ;597030906268        ;Datos en datos/tbk_config.dat                                           
273786454 ;       16859;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;105104;192.168.3.185  ;OK ;597030906268        ;Mac generado                                                            
273786454 ;       16859;   ;pago      ;https://webpay.transbank.cl             ;01092016      ;105104;192.168.3.185  ;OK ;597030906268        ;Construccion TBK_PARAM                                                  
