ACK; TBK_ORDEN_COMPRA=63978; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-2; TBK_MONTO=14670300; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=5154; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=040830; TBK_ID_SESION=63978; TBK_ID_TRANSACCION=761971833; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=A; TBK_MAC=1b38487f01d98fbb0a91236cebbc7a50f16fd4894f8ad35b76cba621230a2c71e4702dba55f89adec8985192ed9177c129ac8d8fa846609f887f6f1b1838051c4726cc9c609e0cf6a1028e0ae951a5ccf9afa9207eeb7aab9a33a8ffbf43dbea0aa2f769b35e0c55f55d7b5e7e3bde814475ca76b50cf4ce31ceb26387126592
ACK; TBK_ORDEN_COMPRA=63979; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-2; TBK_MONTO=14670300; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=2873; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=041035; TBK_ID_SESION=63979; TBK_ID_TRANSACCION=761984315; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=A; TBK_MAC=48c0cc549877ee518e354d37be62306aedfdae0284b98ad4e45c4cb9fd41b535c82b9b95085eeacaa0f0d1db5d48be6a054e43fba1b97d85cb31d5166f175134181700b5dd4daafeead3d1773cc6bdae636ca62daf89e2520933db4fb9094d5f88c416d184347d081027b3af43fc3b989e59c5faf2b88f0129a25e3a147930d0
ACK; TBK_ORDEN_COMPRA=63980; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=12677100; TBK_CODIGO_AUTORIZACION=299072; TBK_FINAL_NUMERO_TARJETA=5062; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=041153; TBK_ID_SESION=63980; TBK_ID_TRANSACCION=761991669; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TSY; TBK_MAC=1e52ced354252b0b9a78f2a1c332f47c2505a212d0df2489f1a70f4b798b3ac9a65ad29156f8daecbed67e2d87b8ae9320854a786bd5ed3da894c13bed91daf07ee22bc8adc432fe159c449fa36ce9b0c2bbdb1547561252d1615f5fd30b3f8a7c7b1a28a26b73ee9fb04f9c7c139a1137195ed235ec16009fb66732e62094e1
ACK; TBK_ORDEN_COMPRA=63981; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-2; TBK_MONTO=14670300; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=3510; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=041209; TBK_ID_SESION=63981; TBK_ID_TRANSACCION=761993701; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=A; TBK_MAC=2c85e02501d72052efba1e9db2c9e8d7f21b77869214030e99c1e513eaca5286ccdf64008ef86d8870a0a8286d6b16bdf8ec244daf8d05d0c16efc1c3e76745bb3f755b322d73a4c64901361a013dc8525a34287c5449e3221926f75eef91563651a7514b47336739302e3665fdf953b436abc370ed9013692f45de261df3d48
ACK; TBK_ORDEN_COMPRA=63982; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=14670300; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=8382; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=041337; TBK_ID_SESION=63982; TBK_ID_TRANSACCION=762002520; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSN; TBK_MAC=4606081b919a62a4a55ea1a7df730d897bfbe312d2116b134232c75930b3e77a1951d732bcb1e95fa7c49574bf921b9e0520ab0e65b3a611c6adafc316706ab2312edc3692c33172b3a5f607545317fb1030abdc52ee0df4521edc1999374c3443fec58ecb0a6de53428455c280ea0bb0c528e9f14fc9f2b3969706f605d32d4
ACK; TBK_ORDEN_COMPRA=63983; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-2; TBK_MONTO=16105500; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=0436; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=041539; TBK_ID_SESION=63983; TBK_ID_TRANSACCION=762014718; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=A; TBK_MAC=40edb43287369d710d9c5d6d0b356dcfe9248553c5d87999eff9f23dc400ebb43180a5d0c940da1f83c342cee8a761854693185621256379a3399141e058baee540507f33a695717fe38c01d60530c5059de14acbce4616a106f2826b42deefde9bb2392a6d3b51d6c1737f95d3bed18c4c10a8c31b5a17c7daf9b5c04c0ad7d
ACK; TBK_ORDEN_COMPRA=63988; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3986500; TBK_CODIGO_AUTORIZACION=025317; TBK_FINAL_NUMERO_TARJETA=9019; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=092628; TBK_ID_SESION=63988; TBK_ID_TRANSACCION=763879716; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=a7e73d730e244a51d8295495c843bfe5dd6a629f54d0aa4ce83302cd091399651630b6a7f59f2f830bea1db797a6189f908a329ef136e4d8d2ea409aa4c3df217cecbcf7355790fa3b3aea9ef493f99416493be83b74a6c773eb36daef776709d18ea8e105760bcc99e398524965cdeff27cde03c98a9e720ad9af35af3fc8a5
ACK; TBK_ORDEN_COMPRA=63994; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=8610800; TBK_CODIGO_AUTORIZACION=022270; TBK_FINAL_NUMERO_TARJETA=0422; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=095123; TBK_ID_SESION=63994; TBK_ID_TRANSACCION=764028607; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=043ad300a2cf9d276364ad3fd19a71c7f23b79b8d0c2ffd8e015d01cbe70ed08c3be7fcb75b6c55e110e9a33b299b83cc3942fdbabd32c7bcae62d30378253d508ad9a9405c424248c359910d03d695e191b22b4fe8f4ae8d8d3d1d69c0fe9c6874df429f874be88dff67a03f6f0dd1dbf8b0c560991097cd5599fbfde592ec4
ACK; TBK_ORDEN_COMPRA=63996; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=6267200; TBK_CODIGO_AUTORIZACION=640528; TBK_FINAL_NUMERO_TARJETA=5999; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=100009; TBK_ID_SESION=63996; TBK_ID_TRANSACCION=764081499; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=31519b1c5a66bc5310b13a9c744ec8aa096586c47d35c3d87cd5167da52a5a9f48eceaeb51e5946733775e4d21a6bc1f5d155424f73e16a4a942f06ff00a979c710b340f99c0d9a34ef9d1c1a3e69fc12bdcd91b0e2bc0de15d7692d50c9574b6d21309f5a01bccbd1d78703ac629e746e5ea9c8baef6ae4180db91deb55c28c
ACK; TBK_ORDEN_COMPRA=63998; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=5959000; TBK_CODIGO_AUTORIZACION=420049; TBK_FINAL_NUMERO_TARJETA=9017; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=102818; TBK_ID_SESION=63998; TBK_ID_TRANSACCION=764250012; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b300063a503c38abbba812e5e79dcde110323621e45ad8043abe2d498ff19e0eed214d4bccb5dabadc0045c2ccb88c9d20a1cedccfd48c23396467fe30c5ac5e96e4845b525bfda657d1154ff54723fa255760acd25d0cfd3e989ef8577a44a4c672787c2d7336fbeb24578cd7720159eae7bac0358d837273c738f1fa3bda6d
ACK; TBK_ORDEN_COMPRA=64001; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2391900; TBK_CODIGO_AUTORIZACION=578507; TBK_FINAL_NUMERO_TARJETA=0011; TBK_FECHA_CONTABLE=0704; TBK_FECHA_TRANSACCION=0704; TBK_HORA_TRANSACCION=104920; TBK_ID_SESION=64001; TBK_ID_TRANSACCION=764375232; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3cecc581f341dc5d0c1831cd81eec8ea04c6446c8bcf394410b93d0b6e4dff7bf82fd0adcc6eac2f3abc61b644e7a96ad031af0604316ac4fa7bea0a0e658bb5d68c5e0fd6eaeef3cb4df1942836eace5b4bdcebaf74f06cec3751176aefca25d7efa07c7558dbd4630ac339c9e59c3ae9969ffbc78def5c45ecbb7a9fb12979
