ACK; TBK_ORDEN_COMPRA=64106; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=5740600; TBK_CODIGO_AUTORIZACION=569799; TBK_FINAL_NUMERO_TARJETA=0108; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=091202; TBK_ID_SESION=64106; TBK_ID_TRANSACCION=781072656; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=55bb2942926bcbd6f4e547d05c2c19623d964746211b057f872e5d65ea8b88a46ed348e7d61063cd032e140c930e6f9fd4eaac797a0a574cb4ee0eb498e83032d79c24ffaea1e18737100f194370dd16e024903ecf8f7bea1eb0765c7c80a4e5595b3bac4994012676eda827fbf3ef493058e988f67edf317ae582c21c9c3e17
ACK; TBK_ORDEN_COMPRA=64110; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=26595700; TBK_CODIGO_AUTORIZACION=603423; TBK_FINAL_NUMERO_TARJETA=7603; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=092314; TBK_ID_SESION=64110; TBK_ID_TRANSACCION=781139701; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TSY; TBK_MAC=c2479a00f7961c93c369802cf9c477829bfbb1833772e8f439fce4ca3a6cfbe5dbdd31631639eedb606ed3c93e2bfabf12b44d8a70c16180984b084cdee6a3e6e9d541b7e89e24dbd6c7ee1f771e52048127641370db84eb71f1df04fe6783d74fc2ca337de400154f6f4b3bf05d758e45faba421888f8e0aa83545ad3877cae
ACK; TBK_ORDEN_COMPRA=64111; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=12777600; TBK_CODIGO_AUTORIZACION=615626; TBK_FINAL_NUMERO_TARJETA=5741; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=100746; TBK_ID_SESION=64111; TBK_ID_TRANSACCION=781407533; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=9a29ee313231c674ef311a67c9460bca5a86a91db0e4a82b9e54e8800f07c81697e4be574e6f8912378e63383cbb2e62f58f9d91388d599dbb84f13ed8b9bf3a081de6328c350c8e28a39fa31122a5e4299f502d50f693d8e64c012407f97981310b4df49002021f9a3fe0e4c20fb8ae6a7825a3a795f3f3ca28c94870b16ef5
ACK; TBK_ORDEN_COMPRA=64119; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=21208200; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=1703; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=115759; TBK_ID_SESION=64119; TBK_ID_TRANSACCION=782068579; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=12; TBK_VCI=TSY; TBK_MAC=8759db9a21c3ede8636cd61186c445feff4c8d702c6e0bb084436477ec39948ddbfdd12bfb50c26318d935a1b349da3cd09f2d1ba1ec3286ee46e550d4e2e358b9c1e3b53887b3f7c01f63ee02dd424ce17b54e6a03d1e60b92aef7e53eabf781dd3651107283e8bef251e4730d1f933d79aa2dca7062d21c56a25b49b601187
ACK; TBK_ORDEN_COMPRA=64120; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1435100; TBK_CODIGO_AUTORIZACION=017213; TBK_FINAL_NUMERO_TARJETA=7322; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=121956; TBK_ID_SESION=64120; TBK_ID_TRANSACCION=782200035; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=600ee3edcb5367ab24a51f66ad9a6ea87460b9b96301c9c48b10ba9b35c81a8b6ac1f07b4948fc4b68695f101105850572d1ca2f32b2e68611131b8d631beacf4b202ddc5f43bee1b1c1c57ea07fbe19aadb2c8a1a5c1aebee65379bff8d9085f6563c13a620fcfcc0d83ac89a645442dd63ac6802ee2f646200a6755a3b9339
ACK; TBK_ORDEN_COMPRA=64122; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=6936500; TBK_CODIGO_AUTORIZACION=683301; TBK_FINAL_NUMERO_TARJETA=1973; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=125035; TBK_ID_SESION=64122; TBK_ID_TRANSACCION=782383850; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=b01540c16279eeef22efb20ea8e06b2b975b0b23502f19afa733c2c4a79b73600353b202a685dfa72d76c1a02be473ae3c12b9ac157d3a271e63054b067dbfc075b295bde9fa94c8dbfb0d6c477e80dadaa9c7c8a09a9897f3e3b1d15158923c8c2fb586d083579eb3ff26bf1b5c071a107dbdc4bb3ce83ae35c1b15ee2ecc35
ACK; TBK_ORDEN_COMPRA=64126; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=5581100; TBK_CODIGO_AUTORIZACION=027823; TBK_FINAL_NUMERO_TARJETA=3442; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=125813; TBK_ID_SESION=64126; TBK_ID_TRANSACCION=782430169; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=8edcf9f46139510bee104c7a7d2ff64eff13458210e77a27618cb43cb0cf995412107d0fa805684dd58b828613589be8377bd5eb87d256e6ffaa9227caa13dfc7eedf7ae4e930fb995b450dff48c8c7eb7f7028ed94e0d421e0d1ec6fffbac0c9ff91c88820b1d472d5890ad9a3a072b1205cf9d1c6de5dd63bf18c3a526e696
ACK; TBK_ORDEN_COMPRA=64128; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=21208200; TBK_CODIGO_AUTORIZACION=115263; TBK_FINAL_NUMERO_TARJETA=1703; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=125917; TBK_ID_SESION=64128; TBK_ID_TRANSACCION=782436206; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=12; TBK_VCI=TSY; TBK_MAC=53398e63e2af1516cea704faa0f19a47154ae4349ab0540efc5359c8a11ebb4346f7fd15738f0b0fa0dbf82d8f3902cc9addaeae53352a44cd606865ca315395d449efdbb67381a380ea8706cfc43cf177e4681e83affec51a3b57d5cca00cac387d91aa0c2d19ef9819b9241771a80f7dc72dcccf61f044fc51bb18ab64ba7f
ACK; TBK_ORDEN_COMPRA=64134; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2232400; TBK_CODIGO_AUTORIZACION=004212; TBK_FINAL_NUMERO_TARJETA=3430; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=140155; TBK_ID_SESION=64134; TBK_ID_TRANSACCION=782812017; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=47bfa73d476ff39e4582b318232df7d46de8468e9d97f2efce8d9f674ca9f70d240e30a4cb93a322455b2f9b23a7b7b8780d4d2f733261fb7d3485470b8e115a218de70539c40164df3ebcd5b9acb40a2a5f6e919e0427e25d5b9809c5b4f54bceb569d9c775fe6b688cc29adb9643aaab6b7cfa097ad05ab5983e17140702ef
ACK; TBK_ORDEN_COMPRA=64135; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=11321700; TBK_CODIGO_AUTORIZACION=001232; TBK_FINAL_NUMERO_TARJETA=0131; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=140748; TBK_ID_SESION=64135; TBK_ID_TRANSACCION=782847655; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=62e8e9b965d6325e108b4ca2c79d3caa76bf4b3ff97f43d88b513d8c86c245c5297e6b3586cdfe2d3cfc84077e4d43cd7d14c4f13ffc3d534a805708ce3dc45c23af72c82d9ec5b36d281ccd2bde93644ea9270e550f240bf6b09815bb64a75b4e82190a006be98739ae05494e1a25e442e629523f5a884031880f97fd436930
ACK; TBK_ORDEN_COMPRA=64138; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4066200; TBK_CODIGO_AUTORIZACION=830287; TBK_FINAL_NUMERO_TARJETA=4352; TBK_FECHA_CONTABLE=0706; TBK_FECHA_TRANSACCION=0706; TBK_HORA_TRANSACCION=144137; TBK_ID_SESION=64138; TBK_ID_TRANSACCION=783050550; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3d5d0550a1e6a23843714434563be83ac246d032faad3c0cdf92e8b8da7f60de00fa69e47801ba2630d2b7fd1377524ab49109e2e42d078fa8d1c57fb39042e8f8a34ab9908400878b1d3e925b3ada3ef27640e6a053465f8b502e1a49ad64261b631b5532d4bf1e3ac112f8249a52b31ee84f23a256ddf2c589865fabfb376c
