ACK; TBK_ORDEN_COMPRA=64302; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-2; TBK_MONTO=1557100; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=7075; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=010438; TBK_ID_SESION=64302; TBK_ID_TRANSACCION=821347835; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=A; TBK_MAC=bdd7802631322f8fb275edc9c3546fb7a4f541976c7c3a1c454381de4631a3e4a0645f57b316ed8a78e5eb472b71a150f6c4243a5616ded000ece7ac6f01ed7ef95d354d77ec217c0c38226fcd91f673155f4cd6365e339ceb49a99338223af3ee472a4eda331be4642be03773db0138e6881964d9d0c6a7bfa90a463a2fe734
ACK; TBK_ORDEN_COMPRA=64304; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-2; TBK_MONTO=398700; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=6179; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=015756; TBK_ID_SESION=64304; TBK_ID_TRANSACCION=821668177; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=A; TBK_MAC=be580c7f1cf282ac2540ca990ef67a05648c12d889f10431e87476efaf9cc4704fb45a80026d2106ac36a6855fd145459a553e7b93a9db3de105432c8df4b5c08cc597dd1af6de95c4f8130c77f6c4df08eed266341ee0f351fe8dcb571ba3db48ee6abd3f4d4f879c5ccee7a6eee049aa2849350192f4edca7dcf61611949d1
ACK; TBK_ORDEN_COMPRA=64306; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4385200; TBK_CODIGO_AUTORIZACION=626736; TBK_FINAL_NUMERO_TARJETA=5028; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=083937; TBK_ID_SESION=64306; TBK_ID_TRANSACCION=824078735; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=0709f0ec4e9e6a46324396212c800797b9ea9bc05cb66f51834339b2946f84b5ca8b2a623085ef511fa05d9d1e94b550e0ea74fa710cdd8820555f598f895376e57188557d4beb92722acff2d4ff475f4f13a83a7d2a7e3f8e98e4800547157cc336e07e8b550fe65db3484b9ee814149d36d58115c3ad574e451e2843d93305
ACK; TBK_ORDEN_COMPRA=64311; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3348700; TBK_CODIGO_AUTORIZACION=614334; TBK_FINAL_NUMERO_TARJETA=6019; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=105520; TBK_ID_SESION=64311; TBK_ID_TRANSACCION=824892449; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b729152af71ef6fb33864d07be9d798787f7e017b47d5423378a1fe03f5020afc3d0afb374598be3548baa34b76b8497d1d6330a0150e3227cefacab3feee34c49a6f8869f028e9d841f911d681cf668909d57f9397bf4d98035136994096e719a7d30e5a7bcf4422c8be23c44862ed964a08a7af67e7882c32aa453906bbd7b
ACK; TBK_ORDEN_COMPRA=64321; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=24477100; TBK_CODIGO_AUTORIZACION=814878; TBK_FINAL_NUMERO_TARJETA=2717; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=132706; TBK_ID_SESION=64321; TBK_ID_TRANSACCION=825802953; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TSY; TBK_MAC=95972f3a1adf834d34ebadac5eb7123668c9e117b85426922acd769b5ede6587aa661db53f95cb849bdef98c4131329f998067ba7ad7ebc259b78a4fb9191298b3ea296cefd94a23329820f97c6274fb1220fae3fc3e1a60e02fcb55f6d09e4a55a33bd4f93100b305dcdecac5e659cc3ffc6a7f3b243f3ed0a5c85374477d6c
ACK; TBK_ORDEN_COMPRA=64322; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=6617600; TBK_CODIGO_AUTORIZACION=818658; TBK_FINAL_NUMERO_TARJETA=9018; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=133756; TBK_ID_SESION=64322; TBK_ID_TRANSACCION=825868500; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=79bf96cfc4a5a1eb84f03634077b8ed2060b63168ca45c749fc1a65fc2a62f6b9c45025e06de249e7db9084e91ad593d82ae7d6970cacba2e1776bebe5d7b574a8afca8458b095e473ec0ef9608a2a2624d2f731ce23e054197748d581b72c649f1730532ffe50d498318cb611f64bdc2b5739e71f88127b0a8f59ebbe291e46
ACK; TBK_ORDEN_COMPRA=64326; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1674300; TBK_CODIGO_AUTORIZACION=970613; TBK_FINAL_NUMERO_TARJETA=8174; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=144012; TBK_ID_SESION=64326; TBK_ID_TRANSACCION=826241716; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=8f83e01afd79595f399735827c4a915cba524977cc83753b982c5110e5c485f269448128d720a3b831dfbed476c5f3a2ad1ec2726a4f8e8279fc797bf03eb579c811a8bb653e9154193e415a7222c96d793e372c2151bbea048943d9cc493eb2bff8886d348d01efafe9b2fd84e8041fc7469553ca012b87e6464f12cf469d99
ACK; TBK_ORDEN_COMPRA=64330; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-3; TBK_MONTO=27239500; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=7086; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=154831; TBK_ID_SESION=64330; TBK_ID_TRANSACCION=826651504; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3158ea3016de8a4296eada358a5df1f1831672af868a59f37a84acbe6f19c64e44278bf01148bdd413d8f7590d962277e058fe52962fec0056d851b700b82a6000b23d3a50b2f2305a2a1bdb1ad94a14189de4c6abcaf8db908fc03cc7c34483de0a3372940c2791824c4aeb66c22bbcb3d5dc347d58755304db7b71c63677b2
ACK; TBK_ORDEN_COMPRA=64332; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=25485500; TBK_CODIGO_AUTORIZACION=002360; TBK_FINAL_NUMERO_TARJETA=3544; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=155619; TBK_ID_SESION=64332; TBK_ID_TRANSACCION=826698372; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=5fb93cf06a523941358d307535d774b558c8a359dccc2bd6d572e50f88103467db6d5c8cea81595a21162372f4db392fd057ab47ba07b2f41a7190f6e27e244e8ea6a7ccd4181316da7d2cdfec732b851ebe7e7130d0c08e7b116af0126fdef99fa7a38f9f3a325b81499cc9c0d384ccdae4f65d4da02af217919a6b82a6e66d
ACK; TBK_ORDEN_COMPRA=64334; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=15627100; TBK_CODIGO_AUTORIZACION=515105; TBK_FINAL_NUMERO_TARJETA=6720; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=164238; TBK_ID_SESION=64334; TBK_ID_TRANSACCION=826976953; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=5bd955e172cd9f0006592aef16fb0622e170bfec2b6d651d79a9e6daf1d9de66416e4370c7b1aeb07607d3c95f7e2b3e52810f31953823732d6fc5164326a6ab9742d69cd48ac6fcd2b4d7b7b9deff2be591680095bb135f50d9101bb2066634a731d0eb796a94cab12585707e44fe821a5d35992152e09e6f99312a960ef91c
ACK; TBK_ORDEN_COMPRA=64340; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=9487900; TBK_CODIGO_AUTORIZACION=000958; TBK_FINAL_NUMERO_TARJETA=8506; TBK_FECHA_CONTABLE=0711; TBK_FECHA_TRANSACCION=0711; TBK_HORA_TRANSACCION=173247; TBK_ID_SESION=64340; TBK_ID_TRANSACCION=827277880; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1cde66b93e7317d47b14212e72943746bd498828ea3581de3f10740b26fdf13c9383d60ab99c20729a0c48fdaf8982f0f272d1ed48ef0ace018b14107387dfbb2f769b89fc07d6584beebfdef1643ec0ca4eebfaddd6fb8c868673b76333e84be96436d29dbae98151c4f6bfeb2d5557813f479677166797dc4b73bb3024c23f
