ACK; TBK_ORDEN_COMPRA=64385; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=17297400; TBK_CODIGO_AUTORIZACION=954875; TBK_FINAL_NUMERO_TARJETA=7196; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=093759; TBK_ID_SESION=64385; TBK_ID_TRANSACCION=833068945; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3a517e0f9b99412aef388aa6eb1d86fb130de9289298dbb39b5a8a019804f0cf8196222d2af6f93880aaf174ecd39cb4e0aff1d2d641fa9ca0635141c4356f9d758add9b90833df354956fd8e7ece38b6b474d3cce73bb05b548697922a4eac9904944c72a41db2b6edd7c223050a14ababc29a5c9531fd01d74c01022d10307
ACK; TBK_ORDEN_COMPRA=64388; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=6958600; TBK_CODIGO_AUTORIZACION=849741; TBK_FINAL_NUMERO_TARJETA=9017; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=104542; TBK_ID_SESION=64388; TBK_ID_TRANSACCION=833474735; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=73bbf3285d30377109b593ac27f1d0dc0f4c7bef9005ba10b71783a41b325bd6c7b55b34982992d9ce8ae774a1b111db9efe2017d5a2b85b827ecaf203f348c5a187d9a96bc8b4c33aea9f493f1464a8960f0943e57d96e17d45ca88c2a6f7adc36c43448a9d24c15a54ac3eeb3254c06cb01030919be8858fe2302cac4e812c
ACK; TBK_ORDEN_COMPRA=64394; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2842100; TBK_CODIGO_AUTORIZACION=925185; TBK_FINAL_NUMERO_TARJETA=0900; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=124633; TBK_ID_SESION=64394; TBK_ID_TRANSACCION=834199969; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=a9b2de39a7e811b8e724c81814adfd1da4622082c1a3b0cde08276bad3c811fa186dcc2f8dcddc98f2214070d5488cf538500ba95622e4ecc9fea97a82ca9a98fded1dfe55dbe764d2c315bad6fb38dd21c910389376eef714eb8324f429c29c19c45b523d60d94b614174406e34018df5eb7fa2ded643869062f48980a86c79
ACK; TBK_ORDEN_COMPRA=64397; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10843300; TBK_CODIGO_AUTORIZACION=770672; TBK_FINAL_NUMERO_TARJETA=9011; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=130121; TBK_ID_SESION=64397; TBK_ID_TRANSACCION=834288576; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=006461538d618a7109bad95ca7a313088bd749ac1d537c23e7f4f67cf7c606d30ca71d48b12692cc61549b22f27f2526b6de1371c543e2fbebaacce72a443ae16d71cc7439addeb4519ae48db07283e839410290cc264bf0a25edf3e7f4ed6a9c5a1e7b3be2ef1a2c879f24322f832185dfc23b34abd8ba23c2698ff8372c32c
ACK; TBK_ORDEN_COMPRA=64401; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=42735300; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=5177; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=135721; TBK_ID_SESION=64401; TBK_ID_TRANSACCION=834625264; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=10; TBK_VCI=TO; TBK_MAC=689306ed19ce49bf0e38012a37403af0b33664edd8dfdcd38de061bd249f99216e780cc198ad5f9668132eb50c0232699f26291398ac1df75c934cf9664a31eba5985ff387562fd5fe520dc4d2745d7fd23ee660d42d6ee44fb4b649840b27a2fc4e3beb2173a9cd2d06e3119ebe5763881a7d4c2fcf91d32fc8566b160fbf3e
ACK; TBK_ORDEN_COMPRA=64403; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=42735300; TBK_CODIGO_AUTORIZACION=419143; TBK_FINAL_NUMERO_TARJETA=5177; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=140523; TBK_ID_SESION=64403; TBK_ID_TRANSACCION=834673478; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=10; TBK_VCI=TSY; TBK_MAC=8521d4615d6f33418ca2a4ca71a1086ca3a0853f2e43fa331cd88b4d7debea31fd9df6246a280571b2d01026efed6736c628349a2818fd67bc3fd7398483fd8031d913f5fe29eccaed45bffefbff446626d415f520a5d7a2b2967849e91b8adad84da8f6eb968797f19ef8f9dd34bf41aae3da63d83666d91207801338c210f8
ACK; TBK_ORDEN_COMPRA=64414; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=11321700; TBK_CODIGO_AUTORIZACION=583945; TBK_FINAL_NUMERO_TARJETA=9503; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=163620; TBK_ID_SESION=64414; TBK_ID_TRANSACCION=835579272; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TSY; TBK_MAC=565f5e5dce00428ee66786c065bed63545f1cd3c080a73f2e81e5efa1f683f4a31ae5074165dc85e3734888ecc38407c6070c41ec2c628238b2aa6fd340572afef172b3a454b532ae2217a4bd9b0de6057523b15069c1685f3f3bc445b37818ea9efdcb2ea8008103fe510532d39190120d707bc7de50e6ff91a26cd0556154d
ACK; TBK_ORDEN_COMPRA=64418; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10010500; TBK_CODIGO_AUTORIZACION=254349; TBK_FINAL_NUMERO_TARJETA=9015; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=170338; TBK_ID_SESION=64418; TBK_ID_TRANSACCION=835742961; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1c8a9352fa6f8f42a2c625b153aa14083e090d1a8cf73058cbb00f1828b8cdb97599d400cf9fbca8a6ccbd2d8fcbddde8517b39845689ca2cc2dec5826878835f2915630392a16905e03470e8dfa4e2f542cbeed5dd2c1e3fd5e73f54a78cfb780f2a6fef6f029f5e24724cbc386cd10b3208ff813b27604c139897449247577
ACK; TBK_ORDEN_COMPRA=64421; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=9373300; TBK_CODIGO_AUTORIZACION=805604; TBK_FINAL_NUMERO_TARJETA=9011; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=182337; TBK_ID_SESION=64421; TBK_ID_TRANSACCION=836222754; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b149a476497850f3a94ca90fbca7fc574cc07626f53a76e420b8309148f85e34764c31b0a388f5fdb3b28cf9e58e8e75dd0e920c36b6a6cc4b3a73ae4febdc88d2d8385bc4bafc3d3549c74c76e4c8f63f3b8620ce325efecf745e47171d723d31b426532980f23efa6733fff9878847019a00a0b39c86aac4b2f9e8a6a7bf56
ACK; TBK_ORDEN_COMPRA=64426; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1514900; TBK_CODIGO_AUTORIZACION=632681; TBK_FINAL_NUMERO_TARJETA=0039; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=205532; TBK_ID_SESION=64426; TBK_ID_TRANSACCION=837133810; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=118146017caf7816ebe6d21345b5c822e66d5493f02c0e4d5050435d34a7f40758ec1dd1e8d6eb9431fa332bdad61021b219dffce0996b1eec38d93e7028e8d739183123b72faac28abd2f45d6f2f8f57c3dfaf3df17630fe518901109accc7c3b00dfb28b8017b712cbbf8236dc49ac804c83a7f5dfa12c383c18fe656bb046
ACK; TBK_ORDEN_COMPRA=64429; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=18497400; TBK_CODIGO_AUTORIZACION=006993; TBK_FINAL_NUMERO_TARJETA=7288; TBK_FECHA_CONTABLE=0712; TBK_FECHA_TRANSACCION=0712; TBK_HORA_TRANSACCION=230603; TBK_ID_SESION=64429; TBK_ID_TRANSACCION=837916676; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=94434d5598f1b143110671b0249b5e539f10a6fc7f10445906158e24c8e81dbfc938a34a6c199d88cfadad9ef5304acb7cae8e2189643fc91c8c50f3f601f6b6ba1f068a07c0c0a79194b0ecf3fb98db744531f51a29310422dd13caf96e34dc8c41942ae55ed9c1dda84f9311e199e52395cfe6409e1f13fa73dc975f094831
