ACK; TBK_ORDEN_COMPRA=64648; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=95714500; TBK_CODIGO_AUTORIZACION=634883; TBK_FINAL_NUMERO_TARJETA=9671; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=053932; TBK_ID_SESION=64648; TBK_ID_TRANSACCION=909397607; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=41e4a1e551f7920d0312d8e39b241f89521e1d7d4d5bfbadca7b44b432e9c8363d5d65f5527301cf04dd6e1b16e624e8daa06eba384a6a7767c83b548a78db9aa77ad2b7dc8847834142503775bc27a04b282a1fea4ce1f18f5703caba559492e2edbe0ffa352812eac3785fd635c1a6482f07688ac93baf50cecb945d4c98c9
ACK; TBK_ORDEN_COMPRA=64652; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=50181100; TBK_CODIGO_AUTORIZACION=047135; TBK_FINAL_NUMERO_TARJETA=7506; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=093935; TBK_ID_SESION=64652; TBK_ID_TRANSACCION=910838301; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=68b7ab76546ae8bf77d518340e1c4445fd19e850173a711c37fb4abd056ea12c3c4a778c04a99d1d3d015f796a082f97ac9466a3fee28f7a1004db3c48e22f9be1a1ce70c18f3e46ad6a857341d849219245a6a6cb12a6b72a2028199f166d4b4ae2186865d8cb77a9ee531d28e559eefa1c03c4bb83131e68634c03fd4649f2
ACK; TBK_ORDEN_COMPRA=64653; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=8399800; TBK_CODIGO_AUTORIZACION=543635; TBK_FINAL_NUMERO_TARJETA=1460; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=101132; TBK_ID_SESION=64653; TBK_ID_TRANSACCION=911029957; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=1d1e9a21ab1a0093e77097f1de566294bd34c69338523d4890921ac79eaf0863ae3d6b77cbccf92fa56024cfc2c76c180549d93e6d8137e4d2b70209a52b7e39f446b393fd3f0702c4de8ce23218b449421c5f9f4920aa061cf1f77df7ea07fa0364a2c2063b8b695c3ca86d4b9b34fdc6d8b720ae8fc1ac4aa1e5f4a581acb4
ACK; TBK_ORDEN_COMPRA=64659; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=29923700; TBK_CODIGO_AUTORIZACION=919744; TBK_FINAL_NUMERO_TARJETA=4892; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=105331; TBK_ID_SESION=64659; TBK_ID_TRANSACCION=911282694; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=0da8452ecb9c1eda32b852b47d10d64f3235f1687ccb600d6b98b65c516ea1cfd16e8c7f8afc404617e3f7841d07d44f47a9fd5f9bb1ebfd3da8afcde61e308fa9697e98a84af790c31c653b428cc94c8f698ccfb275998dcf4fc558c1ad1fe32713e222ed6171215495f535f8099bb14f4c2b1da8f7059e2f0a4e93e34898fd
ACK; TBK_ORDEN_COMPRA=64661; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=9124500; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=6282; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=113847; TBK_ID_SESION=64661; TBK_ID_TRANSACCION=911554280; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=afa2770ea4ae97347a26869b2778eaa0af48e15c51fdd9f2e8282c621766314a1a1e0ef7f5eb3c6dfbd935184a120d2d8d5e7827a3a8ba8589457820c3303713f5c11fab0bdd5ee3d64ee49d7c68fb24781c76198f6d3b16f3c9951660d7a178c5810c7e53bd1f611a5176821c2062e37b01e70ab5b5f5767c19eeffbcd9c70e
ACK; TBK_ORDEN_COMPRA=64663; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=9124500; TBK_CODIGO_AUTORIZACION=848060; TBK_FINAL_NUMERO_TARJETA=6282; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=114131; TBK_ID_SESION=64663; TBK_ID_TRANSACCION=911570723; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=2d35311e1029f4fa0137ba53068b89ea4e0293e166b9c2ee3484cc3a6414a91d00e593b3f334a00dce76ef9e9d060e8f7470d731b947341e83f007e751df7cec6f578a5ddd1ac8603f751bb674b1e9aa8431e228999ea540c08bb48a243818b083708e60c4ff463232eebfa6f52634cc71f7bb5a1b043ffc3d7b52856cd36bee
ACK; TBK_ORDEN_COMPRA=64666; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=39584200; TBK_CODIGO_AUTORIZACION=884851; TBK_FINAL_NUMERO_TARJETA=7461; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=123216; TBK_ID_SESION=64666; TBK_ID_TRANSACCION=911874198; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4044a89a156d8e23041463d6c358802145a62b002b1cc8045683a0d04d497ec0ba344220995357db8dcd33d8e37faeb0e3bb8b5c39949f06ebfd743dc98c25433fdd988224edcc29b011b8b603b228454edb278403b5c41aea40bfee8133baf06c6129f23685b11ce6e8e40dc9d2d44a0fbb576c5c0fd862f3f433f109851333
ACK; TBK_ORDEN_COMPRA=64669; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=88798400; TBK_CODIGO_AUTORIZACION=637412; TBK_FINAL_NUMERO_TARJETA=8865; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=132405; TBK_ID_SESION=64669; TBK_ID_TRANSACCION=912185126; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b168cbb5528bb632239421e1a8ebd6d260804977fc938a258e5c866e9c0aba011a7fbdaa5aea31abe6b2593d42e9f05c3c3cbf0ac5816d9267192feee6cc397358beda88cdaa7a7e07864c49940b68cbb38b06587e2ef548106ce18c6667a7ca4e27db5296dd30a5fd23d2eda3970edb70e15c056944d503cc7b5fa2eaad4a0a
ACK; TBK_ORDEN_COMPRA=64674; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2536400; TBK_CODIGO_AUTORIZACION=620712; TBK_FINAL_NUMERO_TARJETA=9016; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=152746; TBK_ID_SESION=64674; TBK_ID_TRANSACCION=912927307; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b5c56130be07bfca0ae46b894f19c70799d97d38bd5621e2b507f2fdb2c06f7bcaf4f7f042cd60ca11eb0d6ab9b62ce338c9c862d9d3a2a366b85f3569ce8b8513628930a1817b8fa0b985813c1f4e5e06b3082d3c09ecfe74a7702aa7b67535cae65b01991bb61c3e2fbfdc4a7fcc3d61eb1c3add2506bf233af45aa2eb4569
ACK; TBK_ORDEN_COMPRA=64680; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1570800; TBK_CODIGO_AUTORIZACION=414717; TBK_FINAL_NUMERO_TARJETA=2941; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=163420; TBK_ID_SESION=64680; TBK_ID_TRANSACCION=913326691; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=7c5ce56aaae525edeb4b76bbdbb7b684c7b132a35d4fff1ae702093aa9ca43eac1b595010eff133acefbce6487e74885be00be307468b6c88d6c7ddfb7d2139c08945e4d14e503f0cdd19d17e56679f4fcc80d9bb379119c56286b74037654fedc6bae95f98e0a3213032aaf2e164556661be6cae583a7354462410948124180
ACK; TBK_ORDEN_COMPRA=64684; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=22148300; TBK_CODIGO_AUTORIZACION=778931; TBK_FINAL_NUMERO_TARJETA=8800; TBK_FECHA_CONTABLE=0721; TBK_FECHA_TRANSACCION=0721; TBK_HORA_TRANSACCION=223331; TBK_ID_SESION=64684; TBK_ID_TRANSACCION=915481784; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=785faa080b7165e5eb55a824dcebd6503ee5c45c4243d8c568ccc00ef0722e78b6160d429f56da6b84682c11a559b032886df300413a704a2426e4a1a98a8317d04d12fbe6f6ab34d74a56ca597a64af13b051661bcd17e4b5579fb15c106b86e02062034f39e934852d0b2f8cd4ff770adae60622d4ab9ac44fd7676f79c237
