ACK; TBK_ORDEN_COMPRA=64957; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=12227800; TBK_CODIGO_AUTORIZACION=008325; TBK_FINAL_NUMERO_TARJETA=8978; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=011539; TBK_ID_SESION=64957; TBK_ID_TRANSACCION=2855611; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4a921336d4e282e5838a4ebe2ba4da85f1c2e1a69e6fe07df904d58e42e69c95d93718e1e1d0d4673c388c59eca5f425f262319eab60d68652c98ed5e0b8633fe3ee1ffffbdb9d36cebe595455e737dd0ccfb0eeef006500bd569102d234f6f1e4d0dc9ecb53f3e01b870d34c07ab9dd861e4eac805d7ab9c07f7234ac1c82b4
ACK; TBK_ORDEN_COMPRA=64964; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=37663600; TBK_CODIGO_AUTORIZACION=169972; TBK_FINAL_NUMERO_TARJETA=3065; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=103454; TBK_ID_SESION=64964; TBK_ID_TRANSACCION=6211177; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=3c36e30bd125ba557a4d30361a47e24ae993ec17d153cfe20ebeff36bc788735bd9f2dd905f822b3b3ebde220df4520215481f63857b9c27bc27d8c295dec35e53d08b24fbae3988a2b4f745c8609ad21c565e7ff326bef4745a0fb377d4c6ec99525db96cc538600c55804858c16e2293cf78bfee5cedd45ebcbc41fb436f59
ACK; TBK_ORDEN_COMPRA=64966; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2352200; TBK_CODIGO_AUTORIZACION=572254; TBK_FINAL_NUMERO_TARJETA=2595; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=105211; TBK_ID_SESION=64966; TBK_ID_TRANSACCION=6313969; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=498c4c9e41c18d3b52d4dbe94bab0b6c4deb9ccd9b241b92c154480c93d7582ba85a2c702ca794491cafe3544124a7402bceffbf62dafab4d3ad3e2a60db4780ae8191317cfe284c08cfefe04b3d9d4031065deef915b6cac643539c7dddfd618a28302f4c4f5ca943103f7f3831aa44323c471c013ae00129a326d17e9f59d7
ACK; TBK_ORDEN_COMPRA=64967; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3834600; TBK_CODIGO_AUTORIZACION=943152; TBK_FINAL_NUMERO_TARJETA=3910; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=105901; TBK_ID_SESION=64967; TBK_ID_TRANSACCION=6354384; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=5fe505db20ed1fa4b88c2f9937c98264ae5337a9ecf016225a9e9c7ef240b6ab6e7c1652eb2c23d1a34b2c99cbe535934543fbd597f9b7f42133cd1c34884988fbda84e9bfc08bbd50978ae3c2cbc452385544048e5629664314e630e7f9a728b01351e981d82bf88084032cd62ae71220112c5b862f3820cafdb7860d926e8f
ACK; TBK_ORDEN_COMPRA=64971; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2434700; TBK_CODIGO_AUTORIZACION=009248; TBK_FINAL_NUMERO_TARJETA=2032; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=115419; TBK_ID_SESION=64971; TBK_ID_TRANSACCION=6687674; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3307c69f1f4e73406f09c223dd740a7248657c004d488e36dacce5da5a3b984df915ae35c1a7b39725697454d23be99034864bba019566acc7abeb47397878b750602332d1a682c250c8fbd02364b04db01e80db21f83d0c6315d39d18f5a9d3eb98475efcf232a1b2b3b5b083a27d56996e25585a01925281ee4e93ba73bb23
ACK; TBK_ORDEN_COMPRA=64972; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2591800; TBK_CODIGO_AUTORIZACION=007727; TBK_FINAL_NUMERO_TARJETA=5489; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=123827; TBK_ID_SESION=64972; TBK_ID_TRANSACCION=6952586; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=7310358f09d71c49a2fc038ea8230a427d84c3ce66e0165779447443ce26cdd775e300be134747a841e07c8c07a4cf1d4430f344f4cd913e7487d9cc0bb2bd7e386e63c96e38ba80eca84f4becb05fbcfa1a85bbf9eada5b6a64fd99240f7f5939b836b3c57fae8dff21c315913e26084f2203c799197152143925e2db3bee82
ACK; TBK_ORDEN_COMPRA=64978; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=53376800; TBK_CODIGO_AUTORIZACION=056282; TBK_FINAL_NUMERO_TARJETA=0881; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=132007; TBK_ID_SESION=64978; TBK_ID_TRANSACCION=7201730; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=655e96b3937d11c5a1bcf1531e88478ac7fe8b5dd498873662109fed409acd3cc7df869f543dc7d67d3f7da3eb2014f7f631e7f71da202965d3f6eff8d6bf492eab65918078d93c05e896b212f51add3f3652c1cf5f8aee5ce4a19d8e41bc2c46da66d88ddb9c9abeed9cb1bdb83d4c984ddfbcf0a698e13fbc3047a4014d237
ACK; TBK_ORDEN_COMPRA=64984; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1570800; TBK_CODIGO_AUTORIZACION=640647; TBK_FINAL_NUMERO_TARJETA=7683; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=141715; TBK_ID_SESION=64984; TBK_ID_TRANSACCION=7544532; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=087a555c26e29377226070117ce4d1d75034e02fc8b0e99871aefb1fe6879443b3818738f8d0deb89b96f7bba1d272d3f90eb7bf0a5b13c91bc44fe0f81f109a06eac661ac2bc7877e684936951ca49952df6565075b5881695f9e7c019847ad2601ccb134aa5fed64633a6f495ecafa2003093020251b39fd5ba760154bf697
ACK; TBK_ORDEN_COMPRA=64985; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=11074100; TBK_CODIGO_AUTORIZACION=121359; TBK_FINAL_NUMERO_TARJETA=2080; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=152231; TBK_ID_SESION=64985; TBK_ID_TRANSACCION=7936147; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=32e5273c6819ed586a793a18c7da6889042e610d0031e442ae9ffd72e40465cf186ecf13d44951b201748cf3f541cb2c75f06ef0670dc25a140761245620b4a7b0ee4250c5cf9af19e7b0e74a75e48b6bdfa743a39863619937ee38d3326fced8d98fcdf2475a37a1d22364056028df46184b0f6231da1d3dbcf1a3d96fec20d
ACK; TBK_ORDEN_COMPRA=65000; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=18687200; TBK_CODIGO_AUTORIZACION=936792; TBK_FINAL_NUMERO_TARJETA=6202; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=210008; TBK_ID_SESION=65000; TBK_ID_TRANSACCION=9961720; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=120256ac5d959126aa5ce76b9b8fe2e413a94832bbe77829857af51a3e0614380eb4ff75d3196ed977a4bc34a6828252a8b0d3645fd65adaf8870aad15b4c2f605c3cae2235841427e0923019915b66f7988558282da5946bc39e5e6f42f3529cff5e570081936b5af5c0ec492b800a6efc92b99d85360730a6e7b05b8a1f38c
ACK; TBK_ORDEN_COMPRA=65001; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=22597100; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=1008; TBK_FECHA_CONTABLE=0801; TBK_FECHA_TRANSACCION=0801; TBK_HORA_TRANSACCION=210632; TBK_ID_SESION=65001; TBK_ID_TRANSACCION=10001038; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TO; TBK_MAC=563f5840c1b661fe826e858bc64225908455f09dc9b08c5087090dcdd0dbafb6916a5a4d4c3b931636dc30ea880c0f4315b3e5adf878550f493c96352200cca4acaa22f6e4b32a396246a270f5c3289b6be1783e043a03729e8017159c194a2796a6c8a6916fd4cb6dcfa2f6d945fddc6b6b8fed333571ddf25e422fd46ee0fb
