ACK; TBK_ORDEN_COMPRA=65306; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2199100; TBK_CODIGO_AUTORIZACION=000531; TBK_FINAL_NUMERO_TARJETA=3014; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=003636; TBK_ID_SESION=65306; TBK_ID_TRANSACCION=89021828; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=6dd7c2b76816142283c587b5462e5a56d27d5eb9bd2d507ca812641b573b301d2b2b13a2d218c47d8aef8674a7b08eae5d1749a278594e069149ffda1ecef8627bac5457f1d94b90481f3ebfdbfaa42490208a69ca9a6b196b2c656c351627b9005e04f3b74d1c35480c06121c52049d6dc7e9dad2b63a5b993d6adf44f1e646
ACK; TBK_ORDEN_COMPRA=65308; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=14765500; TBK_CODIGO_AUTORIZACION=954826; TBK_FINAL_NUMERO_TARJETA=5156; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=042546; TBK_ID_SESION=65308; TBK_ID_TRANSACCION=90396826; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TSY; TBK_MAC=3b3558c1044d632552530aa64a334c517532c02322cce4cc8c14a9976727708e77d4b10f12f13191df2bb10002fadf696d32f433ec80bc1765f3669c374baeb94193f77d362adf8df19d64dae31396ec2127ade3a00cd93a30c8a0e95acc62c15cba1ccb5555c66972b79d9f2564b2b2becc19f4ee69e80b116ed95f051b4f6b
ACK; TBK_ORDEN_COMPRA=65313; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=11074100; TBK_CODIGO_AUTORIZACION=432808; TBK_FINAL_NUMERO_TARJETA=3509; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=095057; TBK_ID_SESION=65313; TBK_ID_TRANSACCION=92348092; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3af7700c7a9b14129ba7ccc913ac9a8c9a2a48127a092fb1061169fb7555c56cca2c0ad193b85192e8c82b380ada506908dd2beee06e5f1387283490ca11b1de90d8690ef19f421ee9066050763cfa7446685c055e358154bcbdbeb85d55e99f23e26098ffd715a94704ccb7d3158ed6150efc2f0e6cff2853820444abc7dfd7
ACK; TBK_ORDEN_COMPRA=65315; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4712400; TBK_CODIGO_AUTORIZACION=011278; TBK_FINAL_NUMERO_TARJETA=6810; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=102012; TBK_ID_SESION=65315; TBK_ID_TRANSACCION=92523581; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=55f8448eed31ac236999e7966095709c5e5f305645ea9da04cfb90cf547312e993410f2cb547e1d48d887ff455ca1e16ce60f6cf5c943313432e76abf77f2c09e1ccfb95b779edfc98436bd4076e4728a1d0967389961f42abba3cd8d363178e1590fc96e77eed48d7a056296b5884a6e00f16321854f84408d55f2bdf913d91
ACK; TBK_ORDEN_COMPRA=65318; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=24897200; TBK_CODIGO_AUTORIZACION=013977; TBK_FINAL_NUMERO_TARJETA=6476; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=103130; TBK_ID_SESION=65318; TBK_ID_TRANSACCION=92590085; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=7ab2213ae42f9bac90d7da98b2dacdb763a6dcd5406bcdb40de184a00e1b96fc3a6c5d091a9de1d077b68d651f6a3ed32a9f3b5872b3c719dabb071b592bb3fdc49dccd6e4529fdc17d5e289c9dc8fde9c22d86dd0e915a0f2afe04c3d838d59dabdc312728a91474c8c1b868e598881bc3085b44fba567690ac6c75ce76b62f
ACK; TBK_ORDEN_COMPRA=65322; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=78068800; TBK_CODIGO_AUTORIZACION=334268; TBK_FINAL_NUMERO_TARJETA=8443; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=105605; TBK_ID_SESION=65322; TBK_ID_TRANSACCION=92737587; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=2; TBK_VCI=TSY; TBK_MAC=44afc2c7f980fe9a4833d27ebccca5eac3f30ad892972d6852f44343dc3fee7c8ace9de65057170491e64f34b03ba46fa0810af8775d1cc2f400fc7538302fce88261accf068dd749a4d691ff6a9a5cea2474d02adcc0a432e29607a870c16385d487ff720c0b7b6eaf6f37a93ff5364eb056d5a4be7a5994ae8a4900a0ee848
ACK; TBK_ORDEN_COMPRA=65334; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10265000; TBK_CODIGO_AUTORIZACION=006756; TBK_FINAL_NUMERO_TARJETA=4257; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=133431; TBK_ID_SESION=65334; TBK_ID_TRANSACCION=93689352; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=bf2cd9577f2b57f14be3f6dc1691c869e54d4fc2830c8a188b950512c73fea731dc3d1d64b2597de0a9274938a1c3d6ed651f6190a26dcc63fdf740382529ce2e57e32fba6e94ca24543549ab705be2cda66f4089897d641bd53286ca11d158684c73189b94653b75a9f625e181ef7c32688613359d742a054883c883a9d5fb9
ACK; TBK_ORDEN_COMPRA=65340; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=15158200; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=6563; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=171503; TBK_ID_SESION=65340; TBK_ID_TRANSACCION=95011336; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=8f1c562439097228f682b7c37ab00f6b1fc603ec46c3fdde535a6825e0144bc82782ead59ad9c221cc6a59f9507f378e1bc5fe86e97c0a3289544ee22f152994a499b1d4ed17584fa1d8ce83a6b54c07e53417e8ce69b842463cddaee37bb24c2fbd56e3c53356def8c06c556bd2fa614e78e411633577aba7ef026137c0a0f3
ACK; TBK_ORDEN_COMPRA=65342; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=15158200; TBK_CODIGO_AUTORIZACION=586944; TBK_FINAL_NUMERO_TARJETA=6563; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=172630; TBK_ID_SESION=65342; TBK_ID_TRANSACCION=95074983; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4ecd4394ae69decb6c5cb5d928f93dabb852a7b2a32e3ac1d4269b231b63de212bbee64aa1e930b2a11c238c352ddaa51b402dba89b5322ee996ad66fb7fd3ce19599b4331397feceda1a4949f46d9781c203807fc12c99c82f5c21c2f8801d38e6b8835255391f52e4706659526767c11e45994b601cc24e97f05d3ba90ea3b
ACK; TBK_ORDEN_COMPRA=65348; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=21612400; TBK_CODIGO_AUTORIZACION=643880; TBK_FINAL_NUMERO_TARJETA=4876; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=180822; TBK_ID_SESION=65348; TBK_ID_TRANSACCION=95331284; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=9105a492e38c1d164bf20b1ebab4ed65157e5623e02e3c8bf7b377220d0d5f0c66a0d549e454331f7b90124a94014e7ca77175beb70809f33b864857804be2996e3e4f06d3d6e9dc426710ce359936c701d451e8ca67a8f39b2f5dd3cc45621bbccdb07edaa50364e3d8832c74f86360be5a45dcf70d30dd3fe6482c8246ef20
ACK; TBK_ORDEN_COMPRA=65353; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=12959100; TBK_CODIGO_AUTORIZACION=009756; TBK_FINAL_NUMERO_TARJETA=6030; TBK_FECHA_CONTABLE=0811; TBK_FECHA_TRANSACCION=0811; TBK_HORA_TRANSACCION=214105; TBK_ID_SESION=65353; TBK_ID_TRANSACCION=96608741; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=a1886eda4f73546aec1b38ff9868a760a654288a2ff4ebc96068cdf77221a7d42808e676c163dec62a0a723f1e45864775629ba380e98ba152096dcf10ee0ccb9b833291b7adf652baa2581d077dd38628c6c2addf49fa6eb85f8b1bcd4f7c0f1a6f1bb8efaa719692739f357a683fbef82d2fa050a8f60b967477f5c2144b4b
