ACK; TBK_ORDEN_COMPRA=65586; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4712400; TBK_CODIGO_AUTORIZACION=158217; TBK_FINAL_NUMERO_TARJETA=9019; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=003027; TBK_ID_SESION=65586; TBK_ID_TRANSACCION=183665290; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=88462370eb851869a0ed6bace91dd6965ce373d99830163864800ee8155e2e6487fc9985eeee378da71d67681604dbf34cf55941ccd93855af132550d7d624aae7c157f9a6e265b2c6b442fd9b50130e7f1397ce30d297b08f3f6f0ec67872b72385a30b04956e11dce1132ca70a238874b2f21fdf4c33fe6748c60eb839ca0a
ACK; TBK_ORDEN_COMPRA=65590; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=21980600; TBK_CODIGO_AUTORIZACION=003796; TBK_FINAL_NUMERO_TARJETA=3892; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=110126; TBK_ID_SESION=65590; TBK_ID_TRANSACCION=187451175; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3139b554c97d474e33dd24b58d3fcfc0a5dbd6b36b7c1ddd58e1cc156abad2405ed395d26101db668c5e3a881cc5802fb762803b7f7930758a32ad7a983a487e4f7489efe8aec0d3970a786ca1f8df4eb616b56e7c7a8d12058f7cb8408c13415cacbd4c0e283b0ee6889c6e7fd64325f80aa9b317436114bff0870d0ed19cc5
ACK; TBK_ORDEN_COMPRA=65592; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=8448000; TBK_CODIGO_AUTORIZACION=918707; TBK_FINAL_NUMERO_TARJETA=2421; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=112419; TBK_ID_SESION=65592; TBK_ID_TRANSACCION=187588620; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1261dee1a53c79dbe08af97ca90693631d3d2f562f077842478ec128b1c42dfa1404d4eb3306df8f0392e6d9c2ff4171475e912db1ee4ec4075e2c6b4b30b81aff83baaf50e2a2ab5c83bb67af5823919bd3359628a43f1f3b94533a6607026e89ab647756b8e13a6e0bdbd375ee0441a9608c421310d96c7343fc75ab33cdd0
ACK; TBK_ORDEN_COMPRA=65594; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3329700; TBK_CODIGO_AUTORIZACION=015848; TBK_FINAL_NUMERO_TARJETA=9078; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=114336; TBK_ID_SESION=65594; TBK_ID_TRANSACCION=187704310; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4f112f7917d19bbf2bb3d6cbadc87155e3f79b6f1070b8e2a91759d61db79d1da0e1830caaa3f1beecb91513e7ff75c0a251d3fb8d6afa2b62e76873452ecb6aa61d88ee47708d1fd37cab845153970bbd983e50eca7d20fda7e52196b2e103dad0967de09696cb382bbb3c5fc065cfa0059b153d09a7ec1b978bcde328a7db3
ACK; TBK_ORDEN_COMPRA=65595; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=863900; TBK_CODIGO_AUTORIZACION=019081; TBK_FINAL_NUMERO_TARJETA=5465; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=115554; TBK_ID_SESION=65595; TBK_ID_TRANSACCION=187776830; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=491a4849161a20cf9d85a854d444643b4e9bd04e72eef6ede83daf9871fce8eaa1c0356bb99d76e69b0b8feef981ab8695d3142f59ed7cb07364bef694d9373ef1196887de1cf50c84c4782cafd3e58d3167f32f1b206d4f9b7881719c6c813f07b04778f4e74fb7b0767a1cafe987d6e74ddf21467851a65a9a49e3cd936194
ACK; TBK_ORDEN_COMPRA=65597; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=863900; TBK_CODIGO_AUTORIZACION=836277; TBK_FINAL_NUMERO_TARJETA=7683; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=130653; TBK_ID_SESION=65597; TBK_ID_TRANSACCION=188203959; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=2; TBK_VCI=TSY; TBK_MAC=aacd68ab4110e849c8494e79ad7018ddef704da2b3b9d59459bac05c58d0ab0311fcb64f31209022bb99269780f978640e069b3fae7f62da1e82e8dcc769cec88718b4c58527efea01ac9b08a935556bc5aef7acb719b9edc7d076f8bc11e6a5f25b800d7642431a7feb5dce1223cd67732670c2f5cfb615b4cd751f5736140e
ACK; TBK_ORDEN_COMPRA=65598; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3539600; TBK_CODIGO_AUTORIZACION=358960; TBK_FINAL_NUMERO_TARJETA=2459; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=154627; TBK_ID_SESION=65598; TBK_ID_TRANSACCION=189159973; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=02df6239c5e1ffab7778915ac797484b1ac351c570ce51df0e725b9d8ef5be778f380e28db54783ad0360d1d740080bb4b7d0e1033e7846bd69ae9a60855e2abe29ddf3f69d91a16416c24d296c75823633404f55bd02232c335e1c7608a120c0463b84c6fe245c255d9189ba9b428afedbbc9c96b7263e26562b05bdf224d92
ACK; TBK_ORDEN_COMPRA=65610; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=13081900; TBK_CODIGO_AUTORIZACION=012521; TBK_FINAL_NUMERO_TARJETA=8290; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=182431; TBK_ID_SESION=65610; TBK_ID_TRANSACCION=190109684; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=40b8e5d2f92574a31de25cf2ac8d5379d39051f1ead7e95f0ee4bbd1402ea8d2e9c9cb2db8ece2a85905bac5c7c5e8ffeb2f75e4ce7dc1babae9288059275ffde80d447e5858f6095dda1a19e221f56dc648467167b5830805a3e980ff21e41227096bdc94da113e80ef2c82f736eeda088be356f656918f748a45f638c7c59a
ACK; TBK_ORDEN_COMPRA=65612; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=16797000; TBK_CODIGO_AUTORIZACION=739653; TBK_FINAL_NUMERO_TARJETA=1870; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=183233; TBK_ID_SESION=65612; TBK_ID_TRANSACCION=190157912; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4dbb842b99f9add02407cd30c712a20b2008563d47c0abbf55166b4d6598d408f4985c780a98352768cac75c42370a41f3f6f82e9fe932d1ee1b90793d68f76b5a4749f703e10e844d91e40931c87765bfc3d1f0a671970b1e3107e86d01a8258dae37d5d8891f895b61af78cf8e9054cb819c9a3491810edd5aa31f08436f8c
ACK; TBK_ORDEN_COMPRA=65614; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=11038500; TBK_CODIGO_AUTORIZACION=481769; TBK_FINAL_NUMERO_TARJETA=6396; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=183605; TBK_ID_SESION=65614; TBK_ID_TRANSACCION=190178123; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=6ef7a4bf27220f4f7cf38a2a98bc422d0aa57a0a21d6901143781cf6f6ffac331cd0d0bff1108788a420bc846e49e589c50605c9ca47feeb90fed1b20888d20fe48ff85e2bd261274fa0adede9d3969b793588bb174b410924368ef8f1648faf2d7ac145a288ef497e62c2f5f9a0d0d405d5e2b9c8357f603ff6801f70414c9f
ACK; TBK_ORDEN_COMPRA=65615; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=11938100; TBK_CODIGO_AUTORIZACION=661650; TBK_FINAL_NUMERO_TARJETA=9236; TBK_FECHA_CONTABLE=0822; TBK_FECHA_TRANSACCION=0822; TBK_HORA_TRANSACCION=184826; TBK_ID_SESION=65615; TBK_ID_TRANSACCION=190253232; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=5123407ee8a0b276585cd98286f520d31f0f1bf5fa8611e2161b0301f578f612296d23267aea5787a34d584ce77cb57f186b219b77c01c810df8c6a1a135b18dafb17152dbbbeba21c980a36768b077009066c4e64498a5395edd0cb4f531482def9e750d85c44d5c2494aa1f2dd6954b113a0854d5cf9e522f2a9bce4fb0cc4
