ACK; TBK_ORDEN_COMPRA=65749; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=20889500; TBK_CODIGO_AUTORIZACION=002987; TBK_FINAL_NUMERO_TARJETA=1025; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=081838; TBK_ID_SESION=65749; TBK_ID_TRANSACCION=221034719; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=88404022c9747a52518edaf528d77f52a3cdb0e3f8aa5bd52c16e7168f25f14f9c348cd886aa7d45b37535b7287dc482d321a524af73923fb77bb664c4fa76d28c583665a6d669d11b7c18d4949e5f5f91d66f3ddb8f3345c6a4d9f33f1c03749dff9ee70d9beef3045d1036d4181e1c835a78796e31c7bd2eab081ee952cd95
ACK; TBK_ORDEN_COMPRA=65751; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1833800; TBK_CODIGO_AUTORIZACION=006653; TBK_FINAL_NUMERO_TARJETA=8962; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=102039; TBK_ID_SESION=65751; TBK_ID_TRANSACCION=221765377; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1b6c01ccd7c3e35754c7a59d54b3a0fcdc9433e7e0aa36d8266ea1a8b92b27d211965c13eccc54d74b48f45de945bedf2b67f169997f05bbb62f1498bbd982b8f971660b2d577ddd2388e7b5ed58a5c134e15c740faea45ba98dae634e8a27a4a4a7339c051d6c1eba95254a8817d76ad66497333ee42525814b50a3cf992f24
ACK; TBK_ORDEN_COMPRA=65754; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3189200; TBK_CODIGO_AUTORIZACION=826454; TBK_FINAL_NUMERO_TARJETA=4191; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=104625; TBK_ID_SESION=65754; TBK_ID_TRANSACCION=221919971; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=0eaa14155b97467551ebadbc65a8e19d33207c65e272236fbb8f518dcde9210980558f6195cfe48e68ed25b8838fbb0efa20b5b997181af7e3e1f604b08b3215d423fef6f1d4335a5ef37520e6b322ab5f494d7e5fcc0d0dcfd888bcc977d2aa7208d7474356ec501a2643a3b8a80f98c6e9e33300a2f4fdeb414f3715c52c81
ACK; TBK_ORDEN_COMPRA=65757; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=1161100; TBK_CODIGO_AUTORIZACION=018009; TBK_FINAL_NUMERO_TARJETA=1071; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=114313; TBK_ID_SESION=65757; TBK_ID_TRANSACCION=222260490; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4e39e135edb43942baf885bd4a405d61a0befaab9eb62e0012ce71b343825b341ebdce69fe8ee0877a282ab258d1f89836797711029f116eb801eeacc7bfe1c2bff27f647263381d010dca1ead26f2cc65b17e114dc271438309ba7ee4d3dca5679b6eee34c365a4282f98ab0921e02b97589286eedb1f8fed98482eac6c02f2
ACK; TBK_ORDEN_COMPRA=65758; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=8496400; TBK_CODIGO_AUTORIZACION=285464; TBK_FINAL_NUMERO_TARJETA=5750; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=114425; TBK_ID_SESION=65758; TBK_ID_TRANSACCION=222267892; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1094361919eed774f263782e059e3cf804cb1d3e38bafda78eb4dc9b2d3b2bc532243e99b97b5379ac96d14f56c130154f4a9ec3dff4f8917ce6b8451487bc9d55e49c74df23fe4c9aaa563894f8b72acbac563bf8f70374d4cdd5736381c0dd6c152084a6d9c68c81c929cb9741d1cb1e06449d85380e5ac06893a4389aa720
ACK; TBK_ORDEN_COMPRA=65759; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2391900; TBK_CODIGO_AUTORIZACION=008924; TBK_FINAL_NUMERO_TARJETA=2043; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=121410; TBK_ID_SESION=65759; TBK_ID_TRANSACCION=222447972; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b70d15668055172f834583feb5e16b09068d4f7471a14a2f7d878c5e310f9f3e32c40a7d88797be44539939d06e2be149b8025273d55a9fcae76c42217bf75b81633b102e67dfccf9372078bc5212c92d4b8b5ca5ea1312a31971eb518a4a0938ff12b4d18b661dacd2422b68eee51dd908221a6004187808d141c0b6deef2f9
ACK; TBK_ORDEN_COMPRA=65762; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=6458200; TBK_CODIGO_AUTORIZACION=994739; TBK_FINAL_NUMERO_TARJETA=7280; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=123200; TBK_ID_SESION=65762; TBK_ID_TRANSACCION=222550600; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=af66b5050b632465dbf6daaff5cea0c4ea87e5fca84df37712f1b78f9c0b10b5217c4eb66e2bc25866d9a579178afd64ee6e954f8a2922662e953f2e56531574b49cba974c3073e278631fd6646ad490269d6beb998d0469da8e473fa5b5f66cc086c630de81fd1853e484c538ffa0ed5e1d6c9411bb9010b7af01bf8bc959b5
ACK; TBK_ORDEN_COMPRA=65766; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=32752700; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=0558; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=134632; TBK_ID_SESION=65766; TBK_ID_TRANSACCION=223000403; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=62652abf624e5b0e217169bd6ff0ee72b59eff1cfddb835535f2fb80c357772d7c61c0c5a0e318502d4a86d3f07f94c2195fb666d8aff0754e41c8def5ff08824ae900825db3aca3e98f516b1184c28a0e35e954c467355fc5b06a22919d98a036a633a28a4f74c779c96a6f661172206334b3320b4f052a59c1188bb3cd4977
ACK; TBK_ORDEN_COMPRA=65769; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=12347600; TBK_CODIGO_AUTORIZACION=722914; TBK_FINAL_NUMERO_TARJETA=0529; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=140837; TBK_ID_SESION=65769; TBK_ID_TRANSACCION=223134486; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TSY; TBK_MAC=9239a90f039d29319526111703e299bce013430b861be1e42e93d962eccf96bafa769d8dbf546a7a50a56ead8b1f935f3243913cc6d4baf1264f96b0dac0342b61c84177c7781627b9c47c6d994e994b85ef6d5ac883c787e49940de7fd4499f671861acefa3d689b05015b5bebd3c301349670f740cce247ed864e36dc3c73a
ACK; TBK_ORDEN_COMPRA=65772; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=20490200; TBK_CODIGO_AUTORIZACION=775690; TBK_FINAL_NUMERO_TARJETA=0051; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=152128; TBK_ID_SESION=65772; TBK_ID_TRANSACCION=223571542; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=4e97a476193ece0b3acc1692618565be7292ef1c6c7479421a3f1219e8b90e4e45ae47e7bc39552ba42d4ef3dd7a203f136b381aeab673a869681e25f0ef469b8f394bd72a2ca444c33818822a94385cb1027022497c5811a438830b36d096f130214dfc7db2ff551478701a1d2106d5a9748c300801c82276e8531d8bb4aea5
ACK; TBK_ORDEN_COMPRA=65774; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=32752700; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=0558; TBK_FECHA_CONTABLE=0826; TBK_FECHA_TRANSACCION=0826; TBK_HORA_TRANSACCION=152604; TBK_ID_SESION=65774; TBK_ID_TRANSACCION=223593824; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=7f15d2d051799bc5d152d64ab9509d54043ad330e2027e6da71f0cff84f1e91fdf72a966a0e06ff2f5bb98861d68942621c2770b98aa59d7b2e99661d0bf3f1ae6fa69cabe16a0e81ca81547f7e113bbaa37b64bc6a6f612fb9416af26e3a3b345f131dabd1778484798973edbe9c0d96ab1b03c33b949a34cb6dfaccfb53f7f
