ACK; TBK_ORDEN_COMPRA=65879; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=26622200; TBK_CODIGO_AUTORIZACION=170518; TBK_FINAL_NUMERO_TARJETA=0131; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=094043; TBK_ID_SESION=65879; TBK_ID_TRANSACCION=264727354; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=7ded61967999d64f6c30c9a26cf721d724cee463e0cf73ec395265f3a537bb4c988f9e8d6a171b05ea007cb07cc61171661a413bdfa6220365b971bcef48896e7486db658db4caa550fd39992a22db2921a80ed24cfc44e3de572d0a25f87d178344b62a8bb491fb5ba5c7b66cb30b3bad5971faba4ce118ce5b30a5df12604c
ACK; TBK_ORDEN_COMPRA=65883; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=11401500; TBK_CODIGO_AUTORIZACION=668580; TBK_FINAL_NUMERO_TARJETA=3324; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=103244; TBK_ID_SESION=65883; TBK_ID_TRANSACCION=265039534; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=83102bbb21a040ce56a279c5a2e8a66dd1c99624319656f8b7c3f0b50154caac8a4d25a1164fdf54593c7f1166a47b83f760935517b6341caafbcaebd2199793b9832c35fe90a4ed275e49a2f54e2f5742eddbc936aa54f5823573a01afd9a6b9f3d1d7ffb460bb06f3693f0b489e3fffa5d41fa7f8647db37b1e5fa9e1e7d71
ACK; TBK_ORDEN_COMPRA=65885; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10524500; TBK_CODIGO_AUTORIZACION=246987; TBK_FINAL_NUMERO_TARJETA=3413; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=104404; TBK_ID_SESION=65885; TBK_ID_TRANSACCION=265107442; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3bab0309b78ba6091e4dc25635976ae89428e2ddefb52aa78879912a5030ad0f9de75d786503e41c5b107e4d8fafd777309abad70bf94096ed274466395161505c3f1681184ea05319e5eee42d973ef3ad17bad894ee8fb1074e3ae34cddc22a408cf1f8cb739b30e73b8938245ff9ba3cd2fa62f2bd95fe76d8e473f4b01995
ACK; TBK_ORDEN_COMPRA=65890; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=37796500; TBK_CODIGO_AUTORIZACION=440769; TBK_FINAL_NUMERO_TARJETA=7081; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=105250; TBK_ID_SESION=65890; TBK_ID_TRANSACCION=265160094; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=261124ca96f0de802f764e9c60629000a70c1147e02d65d191fc4c276261e66aaa69b67482c7fd5192f787063fe93fcff4659bef2d873804beb926a100b62dab790628ac3a03b5b9565f18b5cd96c8cfcb94cd4577de178163309e8a54b565408834253638eed88b65d4c04cedca2c4fb5e1d91a8a8b7648515c5c54c5457edf
ACK; TBK_ORDEN_COMPRA=65893; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=21367900; TBK_CODIGO_AUTORIZACION=067151; TBK_FINAL_NUMERO_TARJETA=5820; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=105621; TBK_ID_SESION=65893; TBK_ID_TRANSACCION=265179624; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=4694df5133f87d2aac3bdc4acc348d7b666e40dd4b1d0b1c126b3bd65c30b3f5d7d820aeef7a03df161ca1bb99b81e9a6bdc7427c0deed2f9167538ee64ceaea50611d543ad5f6b77e84e7df09b806c4b5845d59f6d862d20b6d46f3ebc99f90794e38587946419904a14e4653490abb7161b8c7a3f7a0e4ac940b634ed0bd8f
ACK; TBK_ORDEN_COMPRA=65898; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2790600; TBK_CODIGO_AUTORIZACION=005256; TBK_FINAL_NUMERO_TARJETA=3367; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=131102; TBK_ID_SESION=65898; TBK_ID_TRANSACCION=265989039; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=87ce55f6c685ba322b17d999fbbd3ddd2434823e2291e6936068031589d88c4cd803bb85616457cb959183d479bd4ff1be0336a90ff74c1c6d6d2bf2b17c9376286563422a3e776bb6d30e9092632b7e1c23bc9c0612f8d3b2c5701fb296db94b39e1699c4c4404e4b7070c15fb55e9acf0b083e71808e6164aa97419ca1d046
ACK; TBK_ORDEN_COMPRA=65900; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3587900; TBK_CODIGO_AUTORIZACION=001130; TBK_FINAL_NUMERO_TARJETA=0709; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=132757; TBK_ID_SESION=65900; TBK_ID_TRANSACCION=266090695; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=369b3f521719ba825879f23a0dd21c58a12a218b799c8538f5d6a74e4fd86cd2ff3d0a80514bcfdfb083ec5edccf81d414e307484023b926845a14b4fd58ef11dcab6fc8a58bb191b0f5d53f78e6dbd14115e419a2073204ac8d95695151c3de7e44d610870b3fb06e01a62e6fb976c20dfc03cdd7c59942f4b38663ce63020a
ACK; TBK_ORDEN_COMPRA=65901; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=12826000; TBK_CODIGO_AUTORIZACION=569725; TBK_FINAL_NUMERO_TARJETA=9016; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=151908; TBK_ID_SESION=65901; TBK_ID_TRANSACCION=266756353; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1a8de9c2e5b080104e974910f86d1025d33b08230b7bb28bb20515f2b3a735879418c7a1349b9544865da76d72b0d51adcaa5f91ccef3e7d0497bf04180d5dc6534caaeb4eaad1fe34fa6088f196e042572b5aef8170e439fbe8514689b334e11c4454d41b2fe04b34509adc628263bb7b8394aa3cdec92015a6c6f77cc3fba7
ACK; TBK_ORDEN_COMPRA=65902; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4624400; TBK_CODIGO_AUTORIZACION=328081; TBK_FINAL_NUMERO_TARJETA=9586; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=152307; TBK_ID_SESION=65902; TBK_ID_TRANSACCION=266781075; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=32770cff6564a5972a18c26581d35390cfd842ff4f64f1b635cba40e2bb7e8e91ea1b8b19b5c46ff43e7cd9ba924830c37ffb8919764ebea0352bb4aa63c3504d9655370109bcbdf87d98470e233ddbd45d35ef355328e046302426c2bb5ccac8c6b02fb513056e8e4cdcf3b3e687a060540bb1caa897c6fef0b16cf2441536a
ACK; TBK_ORDEN_COMPRA=65903; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=16185400; TBK_CODIGO_AUTORIZACION=001376; TBK_FINAL_NUMERO_TARJETA=9194; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=152415; TBK_ID_SESION=65903; TBK_ID_TRANSACCION=266788567; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=3d6bcc8f05cbfa23cc185518ba43b1ae47a80907b8cc73364137c6ad34527096cb165dc1438de78a9c949a96c4a2f3369f634078f272eb146df6312231f7f7ba5e5b83e7b19cb5b1f8188e4d9887ab182a0678f314a8bd3ad7e10ce74585d6e8497cfb3e0fb44c02aa027d87cea375e7e678d9cb8c01e27affcfe013100de6d4
ACK; TBK_ORDEN_COMPRA=65910; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=16358900; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=2464; TBK_FECHA_CONTABLE=0831; TBK_FECHA_TRANSACCION=0831; TBK_HORA_TRANSACCION=165827; TBK_ID_SESION=65910; TBK_ID_TRANSACCION=267352336; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=3; TBK_VCI=TSY; TBK_MAC=50e97eb962a374ac8cf000fa2220bf63a3eb7738c6f14499af46449391de91ac4e3a2d3a57a5579f5aa14513e6c254e6fd6e80e02a1bccd0aefc4f6712ebaf4cfd83412bb0ba7066501952a6c710e51b510064cf204f30fd5ffb5f11d9a7bff00b21f72d8af883a06176aa7b6565cfa67b9dbf59119433f0738cf5186c95e6ac
