ACK; TBK_ORDEN_COMPRA=66135; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=20411100; TBK_CODIGO_AUTORIZACION=559502; TBK_FINAL_NUMERO_TARJETA=0500; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=090239; TBK_ID_SESION=66135; TBK_ID_TRANSACCION=333619285; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=39e1c0588548365af0f8bb27e018ff9d103bdb580c5912da09c604371c4d74539c8c0a048cf1d38e984f5de1e27b850f8507a193d1a2043e0a08b21a89429d170cb58e42ba5e199a3bc58561374acdcda4ca1f56689664d31f2851375ce2f63500188a8e5cacdce306da2d8031236e26118d20f78ecb7674f9af64155a8eb06b
ACK; TBK_ORDEN_COMPRA=66138; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=8770400; TBK_CODIGO_AUTORIZACION=806648; TBK_FINAL_NUMERO_TARJETA=4501; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=102029; TBK_ID_SESION=66138; TBK_ID_TRANSACCION=334084575; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=22711d343ce4639143ef917f6aa16a9a9f66ea9010b596cabb3e2af0d2b4184ac40be6ea09103e4bd1b52de646c899c9aeb4a6e5e756ef174383ffbfcacddbd40974ba56c09c03596028b1407b9cdc8b9500be55fa3c0fb5f13599cf672098b855046fe6229c2784e51c35df01ddd8bf19add2b2035840ab2e485a3be4221555
ACK; TBK_ORDEN_COMPRA=66140; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3269000; TBK_CODIGO_AUTORIZACION=000062; TBK_FINAL_NUMERO_TARJETA=8013; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=104529; TBK_ID_SESION=66140; TBK_ID_TRANSACCION=334236338; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=a8c455e623048a0528047a1f2c983bede4a7ffa6f68ac86fc1bf2058a08dbd1c10f2ef62e146632e991fca6e7a4413caeef1de1637e129cd3338e952d2c4715ca91cccea019d284bbeb75d94e57f97b5fd33b6f372013b9a1996d11556d7836fa6a86c7b38309c9f2ee627645ff294342f746ef085e121b6ee4962f4c0d80ce0
ACK; TBK_ORDEN_COMPRA=66147; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=8475600; TBK_CODIGO_AUTORIZACION=373281; TBK_FINAL_NUMERO_TARJETA=2711; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=125909; TBK_ID_SESION=66147; TBK_ID_TRANSACCION=335038178; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=6; TBK_VCI=TSY; TBK_MAC=8b46e2df01b06a79ca10ccf65646924ef42207f6b9098d07153cf3a66570968ec0096ce84a6ed98d79fe136522271639ff84c2e11c43c8b62eb9999808a6dd3a1cbbf1b7ae1eff63ed714cc67503e0b342dc99d10891b87479b2094ae6d707b64e783069ec9c56bb09cdd0f994ca77f9df3ea145eb1d17b909b1c85152322404
ACK; TBK_ORDEN_COMPRA=66148; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4704100; TBK_CODIGO_AUTORIZACION=795264; TBK_FINAL_NUMERO_TARJETA=5504; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=131305; TBK_ID_SESION=66148; TBK_ID_TRANSACCION=335120153; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=5; TBK_VCI=TSY; TBK_MAC=97f4e255b63df74ea0bfcaec6336065548baf0079af9399c505abb9d361c736a5360f822b6606be18f1d7f6a2bcab9fa3d6984bf374dbb2d59b47bc6cd3c690b6af4e7947926dbc2d40bdeb4a62000822e947372e5ba038ab0358c853faacb1b3df1e7a2c2e776d214fc5df064d701aac3b7ada6efd6f706835894727e8e5554
ACK; TBK_ORDEN_COMPRA=66149; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=4305500; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=8489; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=131948; TBK_ID_SESION=66149; TBK_ID_TRANSACCION=335162033; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TO; TBK_MAC=1b442e963f7dade8ea204da4f8196b1b17084cefd9be032f83bf308864e41b708605f73ad92b93dd58400d3a357907ffe4fea9a3987ab9a184771bfdf69205f0a3e113fb75cf570476d0b767cc8eaceff76466e0b90edecb91461bcfdcc7e09342cb57ee6202d4c81ef2190473ba966a3c28808634f4c7faee2b1922eccb7e66
ACK; TBK_ORDEN_COMPRA=66151; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4305500; TBK_CODIGO_AUTORIZACION=817715; TBK_FINAL_NUMERO_TARJETA=8489; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=134015; TBK_ID_SESION=66151; TBK_ID_TRANSACCION=335284788; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=b12a745c8781b611ceb29f8aa9046331e288961fab2226cf98c887a673dc6e53e7a3d72697916d818fa51b6735822bde2df304519f934eeea4cd50c9d193be4bf2c5ff9dca45ccf927b05b042abcd5ecf24cfa52d87959040083def0e2206ab9509f13672403ffa002d4bc62d926283d9ad6960a762167e06df2f3ead2e2d31a
ACK; TBK_ORDEN_COMPRA=66155; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4704100; TBK_CODIGO_AUTORIZACION=023289; TBK_FINAL_NUMERO_TARJETA=1001; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=145347; TBK_ID_SESION=66155; TBK_ID_TRANSACCION=335726028; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1a45bc3ab49128debdc459c7b7a62425087c1602c8b5717e049809a194a26b974c5274193c4dc00727c38b000f0e38b112714dcc55596e78c1da93f328c6cca3011cdd0a129dda4d46e1152f8da862e09034d01cf97ac91ce23b60e405f6ffb66eaacec83fc0d94b346bc9088f730d28e0945dda6e5aa258657fd115c297686a
ACK; TBK_ORDEN_COMPRA=66156; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=6378500; TBK_CODIGO_AUTORIZACION=986968; TBK_FINAL_NUMERO_TARJETA=0131; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=150319; TBK_ID_SESION=66156; TBK_ID_TRANSACCION=335781555; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=17b13ea56dc6a8e47ef3bbe5234f5960150d92e1d65ab225c22931412a10b26155a1440991366faafcf616f1a0e5aa0fd1fc74b5d5d48ff48ff4d48c9f35d44c3ff205bd2c138a8412a46bdbc9b184c4d80541b40b7686c5ff30c90582ce6e235f9043ddebbd15dfad1be8b1e53e53ca1aa0371a9d3dc25e78a2d65bec6968b4
ACK; TBK_ORDEN_COMPRA=66161; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=15050400; TBK_CODIGO_AUTORIZACION=565655; TBK_FINAL_NUMERO_TARJETA=4092; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=171518; TBK_ID_SESION=66161; TBK_ID_TRANSACCION=336575225; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=7cffd62504e992708733c9cbb7c7b01a42a605f84c17e42455e7ab3b4e14a14cba546a927b83e76f130d37b7c7351c27f27d17489e05bd5f6ef0062ff65e716a6881d400a6e18ae1bbdbeb4799afd1da5f15b2a447d24a4b73b937b554003aaa11c65d664c7af8c59911f6e7ac9c6e643e18e530edfb2feb690131514f603085
ACK; TBK_ORDEN_COMPRA=66165; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=5081300; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=5211; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=180052; TBK_ID_SESION=66165; TBK_ID_TRANSACCION=336848571; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=5; TBK_VCI=TO; TBK_MAC=8bff0224cb3cb4cfcc963724e5ea29fd207b588a97fdff4268b2326d9d73191506eb86b1791cc03fea1faa79d2c9571d77c3aee58a8dbd60da612807ea329c33a8ff3fada25cc28c42f1667dcf9777c0d32b7557c28ca912b9466811249d96b6b314e9e75b1e494477a358f04af2065c3a7cf151409f321f63db64b7bea7b149
ACK; TBK_ORDEN_COMPRA=66166; TBK_CODIGO_COMERCIO=597030906268; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=18080200; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=5280; TBK_FECHA_CONTABLE=0908; TBK_FECHA_TRANSACCION=0908; TBK_HORA_TRANSACCION=182509; TBK_ID_SESION=66166; TBK_ID_TRANSACCION=336992573; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TO; TBK_MAC=12d71a67583bd70be229619bc3e630c81908675f4e354253a4260de88eabb8dbc3baa3b4d76677798c656fbd904ce17dc1eac230c00df52dcff4eaee301025d4a70f080747aceee4f19da2f10807cf80fa0a150072f952f4d37c98528f0fb5bbb5a4044060c8b830575ae5fe050a30104256c5bd7f9a562b9d04b7992590a19d
