16.34,116,F5S21A,3030266,HP DJ IA 1115,HP
178.05,22,DAP-2660,2653626,D-LINK DAP-2660 WIRELESS AC1200 POE ACCESS POINT,D-LINK
3.61,928,DTSE9H/8GBZ,2027171,KINGSTON 8GB USB 2.0 Data Traveler SE9,KINGSTON
16.99,1544,CT51264BF160B,2868537,CRUCIAL MEM 4GB DDR3 1600 SODIMM,CRUCIAL
116.19,680,BX80646I34170,2902151,INTEL CORE I3-4170 3.70GHZSKT1150 3MB CACHE BOXED,INTEL
56.83,2861,HDTB310XK3AA,2852004,TOSHIBA CANVIO BASICS A2 1TB BLACK,TOSHIBA
3.05,882,SDC4/4GB,1039732,Kingston 4GB SDHC Micro-SD Class 4 Memory Card High Capacity,
18.66,265,K64068F,1021605,KENSINGTON NOTEBK MICROSAVER SECURITY,
35.77,591,CT102464BF160B,2486036,CRUCIAL MEM 8GB DDR3 1600 SODIMM,CRUCIAL
264.07,4,J2M98LA,2865335,HP 14w104laE12100 2GB 500GBNONDVD BLCKW8 SL,HP
38.56,734,H81M-E33,3029318,MSI MB MSI H81M-E33,MSI
3.23,5756,THN-U202W0080U4,3081455,TOSHIBA PENDRIVE TOSHIBA 8GB USB 2.0 FLAS DRIVE (WHITE),TOSHIBA
141.18,1009,FQC -08294,2539069,MICROSOFT Win Pro 7 64-bit Spanish 1pk OEI DVD,MICROSOFT
39.23,44,KTH-X3CL/8G,2438940,KINGSTON 8GB DDR3-1600MHz NON-ECC 1.35V SODIMM,KINGSTON
114.64,17,DGS-1100-08P,2409399,D-LINK DGS-1100-08 8-PORT GIGABIT POE EASYSMART SWITCH,D-LINK
3.86,999,DT100G3/8GB,2403629,KINGSTON 8GB USB 3.0 DataTraveler 100 G3,KINGSTON
4.73,106,SDC4/16GB,1212924,KINGSTON 16GB MICROSD HIGH CAPACITY CLASS 4 FLASH CARD,KINGSTON
37.29,466,89-206-EV8110,2551778,"ECS M/B INTEL 1150 H81H3-M4 v1.0 MATX 2 DIMMs, VGA+HDMI,64M BIOS, GigaLAN, USB3.0 +SATA3, COM",ECS
141.21,7,FQC-06998,2520067,MICROSOFT Win Pro 8.1 OEM 64Bit Spanish 1pk DVD,MICROSOFT
83.77,1479,HDTB320XK3CA,2852035,TOSHIBA CANVIO BASICS A2 2TB BLACK,TOSHIBA
5.11,142,SDC10G2/16GB,3055478,KINGSTON 16GB microSDXC Class 10 UHS-I 45MB/s Read Card + SD Adapter,KINGSTON
138.47,395,C11CE56303,2955981,EPSON Multifucional de Tanque de Tinta L220,EPSON
125.57,112,CE918A,1932273,HP LASERJET PRO CLR SFP CP1025NW,
24.30,34,CT25664AA800,1094114,CRUCIAL MEM 2GB DDR2 800 UDIMM,CRUCIAL
24.26,80,K64025F,1189892,"KENSINGTON CANDADO 2 DISPOSITIVOS LLAVE CIRCULAR,MONITOR Y NOTEBOOK",KENSINGTON
53.23,9,WD10PURX,2572619,WESTERN DIGITAL 1TB PURPLE 64MB 3.5IN SATA 6GB/S INTELLIPOWER,WESTERN DIGITAL
49.89,172,H81M-P32L,3029319,MSI MB MSI H81M-P32L,MSI
9.35,267,DTIG4/32GB,2504814,KINGSTON 32GB USB 3.0 DataTraveler I G4,KINGSTON
32.70,603,F5S29A,3030267,HP DJ IA 2135,HP
10.40,226,6JH-00004,1555051,MICROSOFT WIRED KEYBOARD 200 BLACK,MICROSOFT
80.69,165,WD20PURX,2572620,WESTERN DIGITAL 2TB PURPLE 64MB 3.5IN SATA 6GB/S INTELLIPOWER,WESTERN DIGITAL
602.28,77,80EQ006MLM,2949070,Lenovo NB E40-70 i5-4210U 4G 500G 8R,
9.35,444,SDC10G2/32GB,3055480,KINGSTON 32GB microSDXC Class 10 UHS-I 45MB/s Read Card + SD Adapter,KINGSTON
141.09,29,C31CD52062,2770569,Epson TMT20II Serial/USB,
49.15,84,9622B003,2849627,CANON SCAN LIDE 120,
3.61,72,DTMCK/8GB,1953719,KINGSTON 8GB USB 2.0 Hi-Speed DataTraveler Micro,KINGSTON
71.66,66,CT240BX200SSD1,3114160,CRUCIAL 240GB Crucial BX200 SATA 2.5 SSD,CRUCIAL
8.35,181,SDC4/32GB,1231089,KINGSTON 32GB microSDHC Class 4 Flash Card,KINGSTON
106.14,150,C11CD76203,2684326,EPSON Impresora de Tanque L120,EPSON
2.93,240,SD4/8GB,1039543,Kingston 8GB SDHC SecureDigital SD Memory Card SDHC Class 4 (4MB/sec) High Capacity Flash Card,
5.01,480,DTSE9H/16GB,1857348,KINGSTON 16GB USB 2.0 DataTraveler SE9 Silver Metal,KINGSTON
343.91,108,L9M22LA,3023043,HP 14-af114la A8 4GB 1TB HDD 14 HD W10,HP
765.31,21,10BD00N2CS,2891719,Lenovo AIO E73z Core i5-4460S 4 500 W8P,
310.42,224,PJD5155,2948571,VIEWSONIC PJD5155 DLP SVGA 800x600 3.300 lumens with a 20.000:1 contrast ratio at DynamicEco mode I/O connectivity includes HDMI 2 x VGA Compo...,VIEWSONIC
611.72,409,P0D79LA,3023126,HP 15-ab181la A10 12GB 1TB HDD 15HD W10,HP
1.37,30,ERC-27B,2328269,"EPSON TM-290, TM-290II, TM-U295",EPSON
1.22,10,ERC-38B,2328272,"EPSON TM-U200, TM-U300, TM-U325, TM-U375",EPSON
352.57,38,9126B007,2700555,CANON T5 Whit lens kit EF-S 18-55mm,CANON
103.37,94,WD30PURX,2572621,WESTERN DIGITAL 3TB PURPLE 64MB 3.5IN SATA 6GB/S INTELLIPOWER,WESTERN DIGITAL
25.03,289,CT25664AA667,1009150,CRUCIAL MEM 2GB DDR2 667 UDIMM,CRUCIAL
518.71,1,L9F18LT,3055605,HP 4002.5 SFF G3250 4GB 500GB W8pro,
24.86,36,PT-90,1188574,BROTHER PT-90 P-TOUCH ETIQUETADORA,BROTHER
792.75,3,J2M16LT,2780861,HP 440 G2 I5 4GB 750GB 14in W7&8P,
82.70,94,E1916HF,3064730,DELL 18.5IN Entry Monitor W/VGA & DP Ports 1366x768 60Hz 16.7Million,DELL
24.69,78,CT25664AC667,1093700,CRUCIAL MEM 2GB DDR2 667 SODIMM,CRUCIAL
832.29,1,MD101CI/A,2309085,APPLE MBP 13.3 2.5 2X2GB 500 SD,APPLE
54.21,63,89-206-EU4300,2783506,"ECS M/B INTEL B85H3-M 4xDDR3 S/V/L MATX 1150, 4 DIMMs 1600MHZ, VGA + DVI + HDMI, USB3.0, SATA6G, Gigalan, 2-WAY CROSSFIREX, 1 PCI, 1 PCIE X16 ...",ECS
285.91,1,LF19NEBHBNM/ZA,2605529,"SAMSUNG MONITOR 19IN 1280x1024 CLOUD DISPLAY NC19 / Main Specs19.0"" / 1280x1024 / 250cd / 170° x 160° / D-Sub . DVI . USBx4 / Swivel . Tilt . ...",SAMSUNG
28.23,16,H3S-00003,2490311,MICROSOFT Sculpt Comfort Mouse Win7/8 Bluetooth EN/XC/XX AMER Hdwr Black,MICROSOFT
116.73,212,CZ181A,2556219,HP LJ Pro MFP M127fn Printer:LA,
